GeneSymbol,ChemicalName,Organism,Interaction,InteractionActions,PubMedIDs,ChemicalID
TP53,10-carboxymethyl-9-acridanone,Homo sapiens,10-carboxymethyl-9-acridanone affects the activity of TP53 protein,affects^activity,35435491,C026430
TP53,10-carboxymethyl-9-acridanone,Homo sapiens,10-carboxymethyl-9-acridanone metabolite affects the activity of TP53 protein,affects^activity,35435491,C026430
TP53,10-decarbamoylmitomycin C,Homo sapiens,10-decarbamoylmitomycin C results in increased stability of TP53 protein,increases^stability,20536192,C067795
TP53,10-decarbamoylmitomycin C,Homo sapiens,[10-decarbamoylmitomycin C results in increased stability of TP53 protein] which results in increased expression of CDKN1A mRNA,increases^expression|increases^stability,20536192,C067795
TP53,"1,10-phenanthroline",Homo sapiens,"1,10-phenanthroline analog affects the activity of TP53 protein",affects^activity,35435491,C025205
TP53,"11,11'-dideoxyverticilin",Homo sapiens,"11,11'-dideoxyverticilin results in increased expression of and results in increased phosphorylation of TP53 protein",increases^expression|increases^phosphorylation,15963507,C490191
TP53,"1,2,5,6-dibenzanthracene",Homo sapiens,"TP53 protein affects the reaction [1,2,5,6-dibenzanthracene results in increased expression of CYP1A1 protein]",affects^reaction|increases^expression,25398514,C026486
TP53,"1,2,5,6-dibenzanthracene",Homo sapiens,"TP53 protein results in increased susceptibility to 1,2,5,6-dibenzanthracene",increases^response to substance,25398514,C026486
TP53,"1,2-bis(isothiazol-5-yl)disulfane",Homo sapiens,"1,2-bis(isothiazol-5-yl)disulfane results in decreased expression of TP53 protein",decreases^expression,23056207,C579148
TP53,"1',2'-dihydrorotenone",Homo sapiens,"1',2'-dihydrorotenone results in decreased phosphorylation of and results in decreased expression of TP53 protein",decreases^expression|decreases^phosphorylation,24615755,C044985
TP53,"1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide",Homo sapiens,"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] affects the reaction [Silver Compounds affects the expression of TP53 mRNA]",affects^binding|affects^cotreatment|affects^expression|affects^reaction,35385781,C512968
TP53,"1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide",Homo sapiens,"[[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] co-treated with Silver Compounds] results in decreased expression of TP53 mRNA",affects^binding|affects^cotreatment|decreases^expression,35385781,C512968
TP53,"1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide",Homo sapiens,"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] results in increased expression of TP53 mRNA",affects^binding|affects^cotreatment|increases^expression,35385781,C512968
TP53,"1,2-distearoyllecithin",Homo sapiens,"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] affects the reaction [Silver Compounds affects the expression of TP53 mRNA]",affects^binding|affects^cotreatment|affects^expression|affects^reaction,35385781,C010942
TP53,"1,2-distearoyllecithin",Homo sapiens,"[[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] co-treated with Silver Compounds] results in decreased expression of TP53 mRNA",affects^binding|affects^cotreatment|decreases^expression,35385781,C010942
TP53,"1,2-distearoyllecithin",Homo sapiens,"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] results in increased expression of TP53 mRNA",affects^binding|affects^cotreatment|increases^expression,35385781,C010942
TP53,"1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)",Homo sapiens,"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] affects the reaction [Silver Compounds affects the expression of TP53 mRNA]",affects^binding|affects^cotreatment|affects^expression|affects^reaction,35385781,C519184
TP53,"1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)",Homo sapiens,"[[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] co-treated with Silver Compounds] results in decreased expression of TP53 mRNA",affects^binding|affects^cotreatment|decreases^expression,35385781,C519184
TP53,"1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)",Homo sapiens,"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with Cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] results in increased expression of TP53 mRNA",affects^binding|affects^cotreatment|increases^expression,35385781,C519184
TP53,12-hydroxyellipticine,Homo sapiens,TP53 protein results in decreased chemical synthesis of 12-hydroxyellipticine,decreases^chemical synthesis,29471073,C517214
TP53,13-hydroxyellipticine,Homo sapiens,[TP53 protein affects the susceptibility to Benzo(a)pyrene] which affects the chemical synthesis of 13-hydroxyellipticine,affects^chemical synthesis|affects^response to substance,29471073,C517215
TP53,13-hydroxyellipticine,Homo sapiens,TP53 protein results in decreased chemical synthesis of 13-hydroxyellipticine,decreases^chemical synthesis,29471073,C517215
TP53,"1,4,5,8-naphthalenetetracarboxylic diimide",Homo sapiens,"1,4,5,8-naphthalenetetracarboxylic diimide analog results in increased expression of TP53 protein",increases^expression,19954251,C429685
TP53,"1,4-phenylenebis(methylene)selenocyanate",Homo sapiens,"1,4-phenylenebis(methylene)selenocyanate results in increased expression of TP53 mRNA",increases^expression,17205524,C074153
TP53,"1,4-phenylenebis(methylene)selenocyanate",Homo sapiens,"AR protein promotes the reaction [1,4-phenylenebis(methylene)selenocyanate results in increased expression of TP53 mRNA]",increases^expression|increases^reaction,17205524,C074153
TP53,"1,5-bis(2,3-dimethoxyphenyl)penta-1,4-dien-3-one",Homo sapiens,"1,5-bis(2,3-dimethoxyphenyl)penta-1,4-dien-3-one results in increased phosphorylation of TP53 protein",increases^phosphorylation,21504179,C560296
TP53,17-(dimethylaminoethylamino)-17-demethoxygeldanamycin,Homo sapiens,TP53 gene affects the susceptibility to 17-(dimethylaminoethylamino)-17-demethoxygeldanamycin,affects^response to substance,17085670,C448659
TP53,"1,8-diazafluoren-one",Homo sapiens,"[1,8-diazafluoren-one results in decreased activity of HMOX1 protein] inhibits the reaction [cobaltiprotoporphyrin results in increased expression of TP53 protein]",decreases^activity|decreases^reaction|increases^expression,18042465,C406982
TP53,(19Z)-halichondramide,Homo sapiens,(19Z)-halichondramide results in increased expression of TP53 protein,increases^expression,23147639,C495172
TP53,1'-acetoxychavicol acetate,Homo sapiens,[1'-acetoxychavicol acetate co-treated with Butyric Acid] results in increased phosphorylation of TP53 protein,affects^cotreatment|increases^phosphorylation,24480522,C047948
TP53,1 alpha-hydroxyergocalciferol,Homo sapiens,1 alpha-hydroxyergocalciferol results in decreased phosphorylation of TP53 protein,decreases^phosphorylation,28586017,C042533
TP53,1-aminomethylphosphonic acid,Homo sapiens,1-aminomethylphosphonic acid results in increased expression of TP53 protein,increases^expression,23983455,C036423
TP53,"1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one",Homo sapiens,"1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one results in increased stability of and results in increased expression of and results in increased phosphorylation of TP53 protein",increases^expression|increases^phosphorylation|increases^stability,16288207,C095284
TP53,1-hexadecyl-3-methylimidazolium chloride,Homo sapiens,1-hexadecyl-3-methylimidazolium chloride results in increased expression of TP53 mRNA,increases^expression,29842889,C540044
TP53,1-hydroxy-1-norresistomycin,Homo sapiens,1-hydroxy-1-norresistomycin results in increased expression of TP53 mRNA,increases^expression,29596799,C506325
TP53,1-hydroxy-1-norresistomycin,Homo sapiens,1-hydroxy-1-norresistomycin results in increased expression of TP53 protein,increases^expression,29596799,C506325
TP53,"1-hydroxy-2-oxo-3,3-bis(2-aminoethyl)-1-triazene",Homo sapiens,"[1-hydroxy-2-oxo-3,3-bis(2-aminoethyl)-1-triazene results in decreased degradation of HIF1A protein] which results in increased phosphorylation of and results in increased activity of TP53 protein",decreases^degradation|increases^activity|increases^phosphorylation,18424783,C105351
TP53,1'-(hydroxymethyl)eugenol,Homo sapiens,1'-(hydroxymethyl)eugenol results in increased phosphorylation of TP53 protein,increases^phosphorylation,28818686,C108731
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,1-Methyl-4-phenylpyridinium results in decreased expression of TP53 mRNA,decreases^expression,24810058,D015655
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,1-Methyl-4-phenylpyridinium results in increased expression of TP53 mRNA,increases^expression,26357513,D015655
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,1-Methyl-4-phenylpyridinium results in increased expression of TP53 protein,increases^expression,28481321,D015655
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,atractylenolide I inhibits the reaction [1-Methyl-4-phenylpyridinium results in increased expression of TP53 protein],decreases^reaction|increases^expression,28481321,D015655
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,[EEF1A2 protein affects the susceptibility to 1-Methyl-4-phenylpyridinium] which affects the expression of TP53 mRNA,affects^expression|affects^response to substance,37051183,D015655
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,mangostin inhibits the reaction [1-Methyl-4-phenylpyridinium results in increased expression of TP53 mRNA],decreases^reaction|increases^expression,26357513,D015655
TP53,1-Methyl-4-phenylpyridinium,Homo sapiens,U 0126 affects the reaction [1-Methyl-4-phenylpyridinium affects the expression of TP53 mRNA],affects^expression|affects^reaction,12710931,D015655
TP53,1-nitropyrene,Homo sapiens,1-nitropyrene results in increased expression of TP53 protein,increases^expression,10837373|22044530,C032668
TP53,1-nitropyrene,Homo sapiens,1-nitropyrene results in increased expression of TP53 protein modified form,increases^expression,22044530,C032668
TP53,1-nitropyrene,Homo sapiens,2-methyl-2H-pyrazole-3-carboxylic acid (2-methyl-4-o-tolylazophenyl)amide results in decreased susceptibility to [Tetrachlorodibenzodioxin results in decreased susceptibility to [1-nitropyrene results in increased expression of TP53 protein]],decreases^response to substance|increases^expression,22044530,C032668
TP53,1-nitropyrene,Homo sapiens,[beta-Naphthoflavone binds to and results in increased activity of AHR protein] results in decreased susceptibility to [1-nitropyrene results in increased expression of TP53 protein],affects^binding|decreases^response to substance|increases^activity|increases^expression,22044530,C032668
TP53,1-nitropyrene,Homo sapiens,CYP1A1 protein affects the susceptibility to [Tetrachlorodibenzodioxin results in decreased susceptibility to [1-nitropyrene results in increased expression of TP53 protein]],affects^response to substance|decreases^response to substance|increases^expression,22044530,C032668
TP53,1-nitropyrene,Homo sapiens,nutlin 3 results in increased susceptibility to [1-nitropyrene results in increased expression of TP53 protein],increases^expression|increases^response to substance,22044530,C032668
TP53,1-nitropyrene,Homo sapiens,nutlin 3 results in increased susceptibility to [1-nitropyrene results in increased expression of TP53 protein modified form],increases^expression|increases^response to substance,22044530,C032668
TP53,1-nitropyrene,Homo sapiens,Tetrachlorodibenzodioxin results in decreased susceptibility to [1-nitropyrene results in increased expression of TP53 protein],decreases^response to substance|increases^expression,22044530,C032668
TP53,1-nitropyrene,Homo sapiens,Tetrachlorodibenzodioxin results in decreased susceptibility to [1-nitropyrene results in increased expression of TP53 protein modified form],decreases^response to substance|increases^expression,22044530,C032668
TP53,1-nitropyrene,Homo sapiens,Tetrachlorodibenzodioxin results in decreased susceptibility to [nutlin 3 results in increased susceptibility to [1-nitropyrene results in increased expression of TP53 protein]],decreases^response to substance|increases^expression|increases^response to substance,22044530,C032668
TP53,1-nitropyrene,Homo sapiens,Tetrachlorodibenzodioxin results in decreased susceptibility to [nutlin 3 results in increased susceptibility to [1-nitropyrene results in increased expression of TP53 protein modified form]],decreases^response to substance|increases^expression|increases^response to substance,22044530,C032668
TP53,1-nitropyrene,Homo sapiens,TP53 affects the reaction [1-nitropyrene results in increased expression of BAX mRNA],affects^reaction|increases^expression,10837373,C032668
TP53,1-nitropyrene,Homo sapiens,TP53 affects the reaction [1-nitropyrene results in increased expression of MDM2 mRNA],affects^reaction|increases^expression,10837373,C032668
TP53,1-nitropyrene,Homo sapiens,TP53 affects the susceptibility to 1-nitropyrene,affects^response to substance,10837373,C032668
TP53,"(1R,3S,3aR,8bS)-3a-(4-Bromophenyl)-6,8-dimethoxy-3-phenyl-2,3,3a,8b-tetrahydro-1H-cyclopenta(b)benzofuran-1,8b-diol",Homo sapiens,"(1R,3S,3aR,8bS)-3a-(4-Bromophenyl)-6,8-dimethoxy-3-phenyl-2,3,3a,8b-tetrahydro-1H-cyclopenta(b)benzofuran-1,8b-diol results in decreased expression of TP53 protein",decreases^expression,24607276,C000657144
TP53,"2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine",Homo sapiens,"2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine results in increased expression of TP53 protein",increases^expression,22101421,C532162
TP53,"2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine",Homo sapiens,"[U 0126 co-treated with 2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine] results in increased expression of TP53 protein",affects^cotreatment|increases^expression,22101421,C532162
TP53,2-(2-((3-(4-chlorophenyl)-1-methyl-1H-pyrazol-5-yloxy)methyl)phenyl)-3-methoxyacrylate,Homo sapiens,2-(2-((3-(4-chlorophenyl)-1-methyl-1H-pyrazol-5-yloxy)methyl)phenyl)-3-methoxyacrylate results in increased expression of TP53 mRNA,increases^expression,36796616,C000590225
TP53,"2,2',5,5'-tetrachlorobenzidine",Homo sapiens,"2,2',5,5'-tetrachlorobenzidine affects the activity of TP53 protein",affects^activity,35435491,C034088
TP53,"2-(2,6-diisopropylphenyl)-5-hydroxy-1H-isoindole-1,3-dione",Homo sapiens,"2-(2,6-diisopropylphenyl)-5-hydroxy-1H-isoindole-1,3-dione affects the activity of TP53 protein",affects^activity,35435491,C501339
TP53,"2-(2,6-dimethylmorpholin-4-yl)-N-(5-(6-morpholin-4-yl-4-oxo-4H-pyran-2-yl)-9H-thioxanthen-2-yl)acetamide",Homo sapiens,"2-(2,6-dimethylmorpholin-4-yl)-N-(5-(6-morpholin-4-yl-4-oxo-4H-pyran-2-yl)-9H-thioxanthen-2-yl)acetamide inhibits the reaction [potassium chromate(VI) results in increased expression of TP53 protein modified form]",decreases^reaction|increases^expression,25977998,C546193
TP53,"2-(2,6-dimethylmorpholin-4-yl)-N-(5-(6-morpholin-4-yl-4-oxo-4H-pyran-2-yl)-9H-thioxanthen-2-yl)acetamide",Homo sapiens,"2-(2,6-dimethylmorpholin-4-yl)-N-(5-(6-morpholin-4-yl-4-oxo-4H-pyran-2-yl)-9H-thioxanthen-2-yl)acetamide inhibits the reaction [tributyltin results in increased expression of TP53 protein]",decreases^reaction|increases^expression,36319700,C546193
TP53,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [bisphenol A results in increased phosphorylation of TP53 protein],decreases^reaction|increases^phosphorylation,29383186,C093973
TP53,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [diepoxybutane results in increased phosphorylation of TP53 protein],decreases^reaction|increases^phosphorylation,29405768,C093973
TP53,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Phytic Acid inhibits the reaction [Glucose results in increased expression of TP53 mRNA]],decreases^reaction|increases^expression,38000455,C093973
TP53,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Phytic Acid inhibits the reaction [Glucose results in increased expression of TP53 protein]],decreases^reaction|increases^expression,38000455,C093973
TP53,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Resveratrol affects the localization of TP53 protein],affects^localization|decreases^reaction,18446786,C093973
TP53,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Resveratrol promotes the reaction [PTGS2 protein binds to TP53 protein modified form]],affects^binding|decreases^reaction|increases^reaction,16928824,C093973
TP53,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Resveratrol results in increased expression of TP53 mRNA],decreases^reaction|increases^expression,11889192,C093973
TP53,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Resveratrol results in increased phosphorylation of and results in increased activity of TP53 protein],decreases^reaction|increases^activity|increases^phosphorylation,12131363|18446786,C093973
TP53,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Resveratrol results in increased phosphorylation of TP53 protein],decreases^reaction|increases^phosphorylation,11889192|16814113|16928824|29242151,C093973
TP53,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one results in increased expression of TP53 protein,increases^expression,15880691,C093973
TP53,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,TP53 protein promotes the reaction [2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one results in increased abundance of Reactive Oxygen Species],increases^abundance|increases^reaction,15880691,C093973
TP53,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,TP53 protein results in increased susceptibility to 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,increases^response to substance,15880691,C093973
TP53,2-(2-aminoethyl)pyridine,Homo sapiens,[Copper binds to Isatin binds to 2-(2-aminoethyl)pyridine] which results in increased expression of TP53 protein,affects^binding|increases^expression,17327230,C006183
TP53,"2,2'-azobis(2-amidinopropane)",Homo sapiens,"2,2'-azobis(2-amidinopropane) results in increased phosphorylation of TP53 protein",increases^phosphorylation,30555576,C046728
TP53,"2,2'-azobis(2-amidinopropane)",Homo sapiens,"2-(4-(2-carboxyethyl)phenethylamino)-5'-N-ethylcarboxamidoadenosine inhibits the reaction [Caffeine inhibits the reaction [2,2'-azobis(2-amidinopropane) results in increased phosphorylation of TP53 protein]]",decreases^reaction|increases^phosphorylation,30555576,C046728
TP53,"2,2'-azobis(2-amidinopropane)",Homo sapiens,"3-methyladenine inhibits the reaction [Caffeine inhibits the reaction [2,2'-azobis(2-amidinopropane) results in increased phosphorylation of TP53 protein]]",decreases^reaction|increases^phosphorylation,30555576,C046728
TP53,"2,2'-azobis(2-amidinopropane)",Homo sapiens,"5-amino-7-(2-phenylethyl)-2-(2-furyl)pyrazolo(4,3-e)-1,2,4-triazolo(1,5-c)pyrimidine inhibits the reaction [2,2'-azobis(2-amidinopropane) results in increased phosphorylation of TP53 protein]",decreases^reaction|increases^phosphorylation,30555576,C046728
TP53,"2,2'-azobis(2-amidinopropane)",Homo sapiens,"Acetylcysteine inhibits the reaction [2,2'-azobis(2-amidinopropane) results in increased phosphorylation of TP53 protein]",decreases^reaction|increases^phosphorylation,30555576,C046728
TP53,"2,2'-azobis(2-amidinopropane)",Homo sapiens,"ADORA2A protein promotes the reaction [2,2'-azobis(2-amidinopropane) results in increased phosphorylation of TP53 protein]",increases^phosphorylation|increases^reaction,30555576,C046728
TP53,"2,2'-azobis(2-amidinopropane)",Homo sapiens,"Caffeine inhibits the reaction [2,2'-azobis(2-amidinopropane) results in increased phosphorylation of TP53 protein]",decreases^reaction|increases^phosphorylation,30555576,C046728
TP53,"2,2'-azobis(2-amidinopropane)",Homo sapiens,"Sirolimus inhibits the reaction [2,2'-azobis(2-amidinopropane) results in increased phosphorylation of TP53 protein]",decreases^reaction|increases^phosphorylation,30555576,C046728
TP53,"2,2'-azobis(2-amidinopropane)",Homo sapiens,"Sirolimus promotes the reaction [Caffeine inhibits the reaction [2,2'-azobis(2-amidinopropane) results in increased phosphorylation of TP53 protein]]",decreases^reaction|increases^phosphorylation|increases^reaction,30555576,C046728
TP53,"2,2'-azobis(2-amidinopropane)",Homo sapiens,"SIRT3 protein promotes the reaction [Caffeine inhibits the reaction [2,2'-azobis(2-amidinopropane) results in increased phosphorylation of TP53 protein]]",decreases^reaction|increases^phosphorylation|increases^reaction,30555576,C046728
TP53,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one",Homo sapiens,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one inhibits the reaction [TP53 protein mutant form binds to TP73 protein]",affects^binding|decreases^reaction,21647879,C451219
TP53,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one",Homo sapiens,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one promotes the reaction [Cisplatin results in increased localization of TP53 protein mutant form]",increases^localization|increases^reaction,21109480,C451219
TP53,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one",Homo sapiens,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one promotes the reaction [TP53 protein results in increased susceptibility to Resveratrol]",increases^reaction|increases^response to substance,23152798,C451219
TP53,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one",Homo sapiens,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one results in increased activity of TP53 protein",increases^activity,15860260,C451219
TP53,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one",Homo sapiens,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one results in increased expression of and results in increased localization of and results in increased activity of TP53 protein mutant form",increases^activity|increases^expression|increases^localization,21109480,C451219
TP53,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one",Homo sapiens,"TP53 protein affects the reaction [2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one results in increased expression of BAX mRNA]",affects^reaction|increases^expression,21109480,C451219
TP53,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one",Homo sapiens,"TP53 protein affects the reaction [2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one results in increased expression of CDKN1A mRNA]",affects^reaction|increases^expression,21109480,C451219
TP53,"2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one",Homo sapiens,"TP53 protein mutant form results in increased activity of 2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one",increases^activity,21647879,C451219
TP53,2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide,Homo sapiens,2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide results in increased expression of TP53,increases^expression,16142332,C044565
TP53,2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide,Homo sapiens,2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide results in increased expression of TP53 protein,increases^expression,15529313|15754328|16857806,C044565
TP53,2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide,Homo sapiens,2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide results in increased expression of TP53 protein modified form,increases^expression,16857806,C044565
TP53,2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide,Homo sapiens,2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide results in increased phosphorylation of TP53 protein,increases^phosphorylation,15529313|15754328|16142332,C044565
TP53,2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide,Homo sapiens,TP53 protein results in increased susceptibility to 2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide analog,increases^response to substance,16142332,C044565
TP53,"2,3,4,6-tetrachlorophenol",Homo sapiens,"2,3,4,6-tetrachlorophenol affects the activity of TP53 protein",affects^activity,35435491,C031487
TP53,"2,3,5,6-tetrachlorophenate",Homo sapiens,"2,3,5,6-tetrachlorophenate affects the activity of TP53 protein",affects^activity,35435491,C039673
TP53,"2,3,5-trichloro-6-phenyl-(1,4)benzoquinone",Homo sapiens,"2,3,5-trichloro-6-phenyl-(1,4)benzoquinone promotes the reaction [TP53 protein binds to HMGB1 protein]",affects^binding|increases^reaction,30742880,C587734
TP53,"2,3,5-trichloro-6-phenyl-(1,4)benzoquinone",Homo sapiens,"2,3,5-trichloro-6-phenyl-(1,4)benzoquinone results in increased expression of and affects the localization of TP53 protein",affects^localization|increases^expression,30742880,C587734
TP53,"2,3,5-trichloro-6-phenyl-(1,4)benzoquinone",Homo sapiens,"2,3,5-trichloro-6-phenyl-(1,4)benzoquinone results in increased expression of TP53 protein",increases^expression,26451628,C587734
TP53,"2,3,5-trichloro-6-phenyl-(1,4)benzoquinone",Homo sapiens,"2,3,5-trichloro-6-phenyl-(1,4)benzoquinone results in increased expression of TP53 protein modified form",increases^expression,26451628,C587734
TP53,"2,3,5-trichloro-6-phenyl-(1,4)benzoquinone",Homo sapiens,"Acetylcysteine inhibits the reaction [2,3,5-trichloro-6-phenyl-(1,4)benzoquinone results in increased expression of TP53 protein]",decreases^reaction|increases^expression,26451628,C587734
TP53,"2,3,5-trichloro-6-phenyl-(1,4)benzoquinone",Homo sapiens,"Acetylcysteine inhibits the reaction [2,3,5-trichloro-6-phenyl-(1,4)benzoquinone results in increased expression of TP53 protein modified form]",decreases^reaction|increases^expression,26451628,C587734
