GeneSymbol,ChemicalName,Organism,Interaction,InteractionActions,PubMedIDs,ChemicalID
CDKN1B,N-(2-cyclohexyloxy-4-nitrophenyl)methanesulfonamide,Homo sapiens,N-(2-cyclohexyloxy-4-nitrophenyl)methanesulfonamide results in increased expression of CDKN1B protein,increases^expression,14567460,C080955
CDKN1B,N-(4-((3-(2-amino-4-pyrimidinyl)-2-pyridinyl)oxy)phenyl)-4-(4-methyl-2-thienyl)-1-phthalazinamine,Homo sapiens,N-(4-((3-(2-amino-4-pyrimidinyl)-2-pyridinyl)oxy)phenyl)-4-(4-methyl-2-thienyl)-1-phthalazinamine results in increased expression of CDKN1B protein,increases^expression,33259807,C555658
CDKN1B,NCX 4040,Homo sapiens,NCX 4040 results in decreased expression of CDKN1B mRNA,decreases^expression,20188076,C498045
CDKN1B,nickel chloride,Homo sapiens,HIF1A protein promotes the reaction [nickel chloride results in increased expression of CDKN1B protein],increases^expression|increases^reaction,28552779,C022838
CDKN1B,nickel chloride,Homo sapiens,nickel chloride results in increased expression of CDKN1B protein,increases^expression,28552779,C022838
CDKN1B,Nicotine,Homo sapiens,4-(5-(4-chlorophenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)benzenesulfonamide inhibits the reaction [Nicotine results in decreased expression of CDKN1B protein],decreases^expression|decreases^reaction,18805435,D009538
CDKN1B,Nicotine,Homo sapiens,Nicotine results in decreased expression of CDKN1B protein,decreases^expression,18805435,D009538
CDKN1B,Nicotine,Homo sapiens,Nicotine results in increased expression of and results in increased stability of CDKN1B protein,increases^expression|increases^stability,15231866,D009538
CDKN1B,nimbolide,Homo sapiens,nimbolide results in increased expression of CDKN1B protein,increases^expression,29962003,C042198
CDKN1B,nimesulide,Homo sapiens,nimesulide results in increased expression of CDKN1B,increases^expression,12717830,C012655
CDKN1B,nimesulide,Homo sapiens,nimesulide results in increased expression of CDKN1B protein,increases^expression,14567460,C012655
CDKN1B,NMS-873,Homo sapiens,NMS-873 results in increased expression of CDKN1B protein,increases^expression,29693262,C000623013
CDKN1B,"N-(oxo-5,6-dihydrophenanthridin-2-yl)-N,N-dimethylacetamide hydrochloride",Homo sapiens,"N-(oxo-5,6-dihydrophenanthridin-2-yl)-N,N-dimethylacetamide hydrochloride results in decreased expression of CDKN1B protein",decreases^expression,21840268,C434926
CDKN1B,NU2058,Homo sapiens,NU2058 results in increased expression of CDKN1B protein,increases^expression,17599054,C466913
