Name,SMILES,Total Molweight,cLogP,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Rotatable Bonds,Senotherapeutics:
syringin,COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)OC)C=CCO,372.369,-0.6515,9,5,272.55,0.38708,7,1
talazoparib,CN1C(=NC=N1)C2C(NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,380.357,2.0485,7,2,266.1,0.28666,2,1
tanespimycin,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC,585.695,3.0722,11,4,463.22,0.28809,7,1
tapotoclax,CC1CC=CC(C2CCC2CN3CC4(CCCC5=C4C=CC(=C5)Cl)COC6=C3C=C(C=C6)C(=O)NS(=O)(=O)C1C)OC,613.217,6.6242,7,1,442.56,0.17315,1,1
temsirolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,1030.3,6.3803,17,4,801.2,0.24237,11,1
tephrosin,CC1(C=CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4(C3=O)O)OC)OC)C,410.421,3.1208,7,1,289.24,0.26324,2,1
tetra(4-N-methylpyridyl)porphine,C[N+]1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=CC=[N+](C=C7)C)C8=CC=[N+](C=C8)C)C=C4)C9=CC=[N+](C=C9)C)N3,678.842,-13.876,8,2,514.69,0.11562,4,1
tetracycline CMT-3,C1C2CC3=C(C(=CC=C3)O)C(=C2C(=O)C4(C1CC(=O)C(=C4O)C(=O)N)O)O,371.344,-0.2949,8,5,242.46,0.44044,1,1
"theaflavin-3,3'-digallate",C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)C(=O)C(=C3)OC(=O)C8=CC(=C(C(=C8)O)O)O)O,868.707,3.6197,20,13,574.54,0.43412,8,1
timosaponin AIII,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)OC1,740.924,1.3117,13,7,506.6,0.29945,6,1
tipifarnib,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,489.405,4.03,5,1,354.05,0.14038,4,1
tofacitinib,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,312.376,1.1936,7,1,246.07,0.28297,3,1
tolmetin glucuronide,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)OC3C(C(C(C(O3)C(=O)O)O)O)O,433.412,-0.6067,10,4,308.15,0.3842,7,1
toosendanin,CC(=O)OC1CC(C23COC(C1(C2CC(C4(C3C(=O)C(C5(C46C(O6)CC5C7=COC=C7)C)OC(=O)C)C)O)C)O)O,574.621,1.2382,11,3,382.79,0.36621,5,1
trachelogenin,COC1=C(C=C(C=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)O)OC)O)OC,388.415,2.0231,7,2,290.94,0.27236,7,1
trichodesmine,CC(C)C1C(=O)OC2CCN3C2C(=CC3)COC(=O)C(C1(C)O)(C)O,353.413,0.5349,7,2,251.11,0.30198,1,1
triciribine,CN1C2=NC=NC3=C2C(=CN3C4C(C(C(O4)CO)O)O)C(=N1)N,320.308,-1.4358,10,4,214.44,0.50569,2,1
triphlorethol-A,C1=C(C=C(C=C1O)OC2=C(C=C(C=C2O)OC3=C(C=C(C=C3O)O)O)O)O,374.3,2.0309,9,7,257.23,0.43424,4,1
troxerutin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)OCCO)C5=CC(=C(C=C5)OCCO)OCCO)O)O)O)O)O)O,742.677,-1.9914,19,10,510.27,0.43906,15,1
tubeimoside II,CC1C2C(C(C(O1)OC3C(C(COC3OC(=O)C45CCC(CC4C6=CCC7C(C6(CC5O)C)(CCC8C7(CC(C(C8(C)CO)OC9C(C(C(C(O9)CO)O)O)OC1C(C(C(CO1)OC(=O)CC(CC(=O)O2)(C)O)O)O)O)C)C)(C)C)O)O)O)OC1C(C(C(CO1)O)O)O,1335.44,-2.3054,30,15,885.56,0.40158,4,1
tubocapsenolide A,CC1=C(C(=O)OC(C1)C(C)C2(C(CC3=C2CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)O)C)C,468.588,2.6348,6,2,329.52,0.24256,2,1
tyrphostin AG825,COC1=CC(=CC(=C1O)CSC2=NC3=CC=CC=C3S2)C=C(C#N)C(=O)N,397.478,2.9757,6,2,294.87,0.3859,6,1
valspodar,CC=CCC(C)C(=O)C1C(=O)NC(C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)C(C)C,1214.64,3.0908,23,4,971.5,0.23383,15,1
vaticanol C,C1=CC(=CC=C1C2C3C(C4=C(C2C5=C3C6=C(C=C5O)OC(C6C7=CC(=CC(=C7)O)O)C8=CC=C(C=C8)O)C9=C(C=C4O)OC(C9C1=CC(=CC(=C1)O)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O,906.937,8.4478,12,10,621.08,0.24312,6,1
venetoclax,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,868.453,6.2006,14,3,633.14,0.23221,12,1
vernodalin,C=CC12CC(C3C(C1C(=C)C(=O)OC2)OC(=O)C3=C)OC(=O)C(=C)CO,360.361,0.8315,7,1,257.08,0.31982,5,1
vistusertib,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOCC5C,462.552,2.5926,9,1,351.05,0.24073,4,1
voacamine,CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)C6CC7C(C(CC8=C6NC9=CC=CC=C89)N(CC7=CC)C)C(=O)OC)C(=O)OC,704.909,6.2424,9,2,519.98,0.17531,7,1
warangalone,CC(=CCC1=C2C(=C(C3=C1OC=C(C3=O)C4=CC=C(C=C4)O)O)C=CC(O2)(C)C)C,404.461,5.0221,5,2,305.6,0.19385,3,1
withaferin A,CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)CO,470.604,2.4938,6,2,334.36,0.23905,3,1
withanone,CC1=C(C(=O)OC(C1)C(C)C2(CCC3C2(CCC4C3C5C(O5)C6(C4(C(=O)C=CC6)C)O)C)O)C,470.604,2.5971,6,2,330.77,0.24165,2,1
wogonoside,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)OC4C(C(C(C(O4)C(=O)O)O)O)O,460.39,0.2725,11,5,312.74,0.42073,5,1
yessotoxin,CC1CCC2(C(CC3C(O2)(CCC4C(O3)CC5C(O4)CC6C(O5)CC7C(O6)CC(C(O7)(C)CCOS(=O)(=O)O)OS(=O)(=O)O)C)OC8C1OC9C(C8)OC1CC2C(CC(=C)C(O2)C(C)(C=CC(=C)CC=C)O)OC1(C9O)C)C,1143.37,0.2076,21,4,768.61,0.31168,11,1
z-Val-Ala-Asp(Ome)-fluoromethylketone,CC(C)C(C(=O)NC(C)C(=O)NC(CC(=O)OC)C(=O)CF)NC(=O)OCC1=CC=CC=C1,467.492,0.382,10,3,363.06,0.32937,14,1
zafirlukast,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,575.684,5.6681,9,2,428.16,0.24395,8,1
zinc protoporphyrin,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C(=C3CCC(=O)O)C)CCC(=O)O.[Zn+2],626.042,5.1545,8,4,435.19,0.23151,8,1
ziyuglycoside I,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)O)O)C)C)C2C1(C)O)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O,766.962,2.1065,13,8,526.9,0.29956,6,1
ziyuglycoside II,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)O)O)C)C)C2C1(C)O)C)C(=O)O,604.822,3.9436,8,5,425.09,0.23181,3,1
zomepirac glucuronide,CC1=C(N(C(=C1)CC(=O)OC2C(C(C(C(O2)C(=O)O)O)O)O)C)C(=O)C3=CC=C(C=C3)Cl,467.857,-0.0007,10,4,323.57,0.36589,7,1
zopolrestat,C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,419.382,2.9351,6,1,280.92,0.30461,5,1
