Name,SMILES,Interacts with,Interaction,InteractionActions,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens
abexinostat,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO,MYC,abexinostat results in decreased expression of MYC protein,decreases^expression,397.43,397.43,397.163772,1.6226,-3.856,8,3,308.18,0.29126,104.04,3.1358,high,none,none,none,0.58621,0.53623,0.82043,1,29,8,0,8,0,8,3,15,8,3,2,1,0,0,3,0,0,2,0,0,1,1,1,1,0,0,1,0
2-(1-(3-dimethylaminopropyl)-5-methoxyindol-3-yl)-3-(1H-indol-3-yl)maleimide,CN(C)CCCN1C=C(C2=C1C=CC(=C2)OC)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,MAPK3,2-(1-(3-dimethylaminopropyl)-5-methoxyindol-3-yl)-3-(1H-indol-3-yl)maleimide inhibits the reaction [[GPER1 protein co-treated with Estradiol] results in increased phosphorylation of MAPK3 protein],affects^cotreatment|decreases^reaction|increases^phosphorylation,442.517,442.517,442.200491,1.6506,-2.634,7,2,335.73,0.21431,79.36,7.7998,none,none,none,none,0.45455,0.41447,0.96969,1,33,7,0,7,0,7,5,18,8,5,2,3,0,1,4,0,0,2,0,1,2,1,1,1,0,2,1,0
bisindolylmaleimide I,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,TP53,bisindolylmaleimide I results in decreased degradation of and results in increased expression of TP53 protein,decreases^degradation|increases^expression,412.492,412.492,412.189926,1.7206,-2.616,6,2,313.47,0.19763,70.13,7.8446,none,none,none,none,0.48387,0.41494,0.9553,1,31,6,0,6,0,6,5,18,6,5,2,3,0,1,4,0,0,2,0,1,2,1,1,1,0,2,1,0
GSK2141795,CN1C(=C(C=N1)Cl)C2=C(OC(=C2)C(=O)NC(CC3=CC(=C(C=C3)F)F)CN)Cl,AKT1,GSK2141795 results in decreased activity of AKT1 protein,decreases^activity,429.253,429.253,428.061836,2.4936,-5.093,6,2,303.98,0.23594,86.08,2.2829,none,high,none,none,0.53571,0.46403,0.8577,1,28,10,0,10,1,6,3,16,5,3,1,2,0,0,3,0,0,1,0,0,2,1,1,1,0,2,1,0
afuresertib,CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)NC(CC3=CC(=CC=C3)F)CN)Cl,CDK1,afuresertib results in decreased expression of CDK1 mRNA,decreases^expression,427.33,427.33,426.048413,3.178,-5.361,5,2,303.88,0.25658,101.18,5.5637,none,none,none,none,0.51852,0.47028,0.8512,1,27,9,0,9,1,6,3,16,5,3,1,2,0,0,3,0,0,1,0,0,2,1,1,1,0,2,1,0
lornoxicam,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3,IL6,lornoxicam inhibits the reaction [Lipopolysaccharides results in increased secretion of IL6 protein],decreases^reaction|increases^secretion,371.824,371.824,370.980124,1.8836,-2.947,7,2,239.26,0.42239,136.22,6.022,none,none,none,none,0.52174,0.22629,0.91621,1,23,10,0,10,0,2,3,11,3,3,0,3,0,1,2,0,0,0,0,1,2,2,0,0,0,1,0,0
ravoxertinib,CN1C(=CC=N1)NC2=NC=CC(=N2)C3=CC(=O)N(C=C3)C(CO)C4=CC(=C(C=C4)Cl)F,MAPK3,ravoxertinib results in increased phosphorylation of MAPK3 protein,increases^phosphorylation,440.865,440.865,440.116379,1.4328,-3.796,8,2,322.12,0.25124,96.17,2.8909,none,none,none,none,0.54839,0.46217,0.88256,1,31,10,0,10,1,6,4,17,4,4,1,3,0,1,3,0,0,1,0,1,2,1,1,0,1,4,0,0
talazoparib,CN1C(=NC=N1)C2C(NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,CCND1,talazoparib affects the expression of CCND1 mRNA,affects^expression,380.357,380.357,380.119715,2.0485,-4.554,7,2,266.1,0.28666,84.2,4.366,none,none,none,none,0.42857,0.25103,0.98114,1,28,9,0,9,2,2,5,17,3,5,2,3,0,2,3,0,0,2,0,2,1,0,1,0,1,3,0,0
PF 00477736,CN1C=C(C=N1)C2=C3C=NNC(=O)C4=C3C(=CC(=C4)NC(=O)C(C5CCCCC5)N)N2,CDK1,PF 00477736 inhibits the reaction [Mustard Gas results in increased phosphorylation of CDK1 protein],decreases^reaction|increases^phosphorylation,419.488,419.488,419.206973,0.8754,-5.32,9,4,315.91,0.34064,130.19,1.3154,none,high,none,none,0.51613,0.37205,0.9569,1,31,9,0,9,1,4,5,14,9,5,2,3,1,2,3,1,1,1,0,1,2,1,1,1,0,3,1,0
bisindolylmaleimide IX,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N,TP53,bisindolylmaleimide IX results in decreased degradation of and results in increased expression of TP53 protein,decreases^degradation|increases^expression,457.557,457.557,457.157245,1.5945,-2.927,7,3,336.86,0.29579,131.2,6.0672,none,none,none,none,0.48485,0.4241,0.98524,1,33,8,0,8,0,7,5,18,5,5,2,3,0,1,4,0,0,2,0,1,2,1,0,0,0,2,1,0
Ro 31-8220,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N,MAPK3,Ro 31-8220 inhibits the reaction [bufalin results in increased phosphorylation of MAPK3 protein],decreases^reaction|increases^phosphorylation,457.557,457.557,457.157245,1.5945,-2.927,7,3,336.86,0.29579,131.2,6.0672,none,none,none,none,0.48485,0.4241,0.98524,1,33,8,0,8,0,7,5,18,5,5,2,3,0,1,4,0,0,2,0,1,2,1,0,0,0,2,1,0
tipifarnib,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,CCND1,[Tamoxifen co-treated with tipifarnib] results in decreased expression of CCND1 protein,affects^cotreatment|decreases^expression,489.405,489.405,488.117065,4.03,-5.185,5,1,354.05,0.14038,64.15,2.4006,high,low,high,none,0.41176,0.40743,0.96676,1,34,7,0,7,1,4,5,23,4,5,3,2,0,1,4,0,0,3,0,1,1,1,1,1,0,2,2,0
XMU-MP-1,CN1C2=C(C(=O)N(C3=CN=C(N=C31)NC4=CC=C(C=C4)S(=O)(=O)N)C)SC=C2,JUN,XMU-MP-1 inhibits the reaction [MAP3K20 protein results in increased phosphorylation of JUN protein],decreases^reaction|increases^phosphorylation,416.485,416.485,416.072529,2.0613,-5.353,9,2,284.17,0.41436,158.14,5.8849,none,none,none,none,0.5,0.37631,0.90802,1,28,11,0,11,0,3,4,17,4,4,1,3,0,1,3,0,0,1,0,1,2,2,2,0,2,2,2,0
triciribine,CN1C2=NC=NC3=C2C(=CN3C4C(C(C(O4)CO)O)O)C(=N1)N,AKT1,triciribine results in decreased phosphorylation of AKT1 protein,decreases^phosphorylation,320.308,320.308,320.123304,-1.4358,-2.605,10,4,214.44,0.50569,142.25,1.1119,high,none,low,none,0.47826,0.32371,0.96888,1,23,10,0,10,4,2,4,9,10,4,0,4,1,2,2,0,0,0,1,2,2,0,0,0,0,3,1,0
alvocidib,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,TP53,alvocidib results in decreased expression of TP53 protein,decreases^expression,401.845,401.845,401.103001,3.5175,-3.869,6,3,281.79,0.23383,90.23,6.5998,none,none,none,none,0.46429,0.30042,0.92506,1,28,7,0,7,2,2,4,12,11,4,2,2,1,2,2,0,0,2,1,2,0,0,1,1,0,0,1,0
ON123300,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C4C=C(C(=O)N(C4=N3)C5CCCC5)C#N,MYC,ON123300 results in decreased expression of and results in decreased acetylation of MYC protein,decreases^acetylation|decreases^expression,429.526,429.526,429.227708,2.6714,-4.939,8,1,331.41,0.21318,88.39,1.4793,high,high,none,none,0.5625,0.40763,0.89202,1,32,8,0,8,0,4,5,12,11,5,2,3,2,3,2,1,1,1,1,2,1,1,3,1,2,2,1,0
sotrastaurin,CN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)C4=C(C(=O)NC4=O)C5=CNC6=CC=CC=C65,MAPK3,sotrastaurin inhibits the reaction [Raloxifene Hydrochloride results in increased phosphorylation of MAPK3 protein],decreases^reaction|increases^phosphorylation,438.49,438.49,438.180424,1.5001,-3.427,8,2,320.09,0.25171,94.22,9.308,none,none,none,none,0.45455,0.32442,0.96856,1,33,8,0,8,0,3,6,19,6,6,2,4,1,2,4,0,0,2,1,2,2,1,2,1,1,3,1,0
Axitinib,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,TP53,Axitinib affects the activity of TP53 protein,affects^activity,386.478,386.478,386.120131,3.4441,-4.87,5,2,299.93,0.25979,95.97,3.4513,none,none,none,none,0.60714,0.45871,0.81719,1,28,6,0,6,0,5,4,21,2,4,2,2,0,0,4,0,0,2,0,0,2,1,0,0,0,3,0,0
geniposide,COC(=O)C1=COC(C2C1CC=C2CO)OC3C(C(C(C(O3)CO)O)O)O,TP53,geniposide inhibits the reaction [Hydrogen Peroxide results in increased expression of TP53 mRNA],decreases^reaction|increases^expression,388.368,388.368,388.13695,-2.1498,-0.791,10,5,265.46,0.44655,155.14,-4.9044,none,none,none,none,0.48148,0.51593,0.91169,1,27,10,0,10,8,6,3,0,21,3,1,2,1,3,0,0,1,0,1,2,0,0,0,0,0,0,0,0
Nocodazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,TP53,Nocodazole analog results in increased expression of TP53 protein,increases^expression,301.325,301.325,301.052112,2.5322,-4.865,6,2,221.11,0.41997,112.32,-0.46833,none,none,high,none,0.61905,0.31127,0.79328,1,21,7,0,7,0,4,3,14,2,3,1,2,0,0,3,0,0,1,0,0,2,1,0,0,0,2,1,0
3-O-caffeoyl-1-methylquinic acid,COC1(CC(C(C(C1)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O)C(=O)O,MAPK3,3-O-caffeoyl-1-methylquinic acid results in increased phosphorylation of MAPK3 protein,increases^phosphorylation,368.337,368.337,368.110735,-0.3406,-1.624,9,5,261.2,0.42718,153.75,-2.9787,none,none,none,none,0.53846,0.43129,0.82134,1,26,9,0,9,4,6,2,6,14,2,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
prexasertib,COC1=C(C(=CC=C1)OCCCN)C2=CC(=NN2)NC3=NC=C(N=C3)C#N,CDK1,[prexasertib affects the susceptibility to Doxorubicin] which results in decreased phosphorylation of CDK1 protein,affects^response to substance|decreases^phosphorylation,365.396,365.396,365.160023,0.8206,-3.977,9,3,293.86,0.36477,134.76,-2.8711,none,none,none,none,0.62963,0.46922,0.84479,1,27,9,0,9,0,8,3,17,7,3,1,2,0,0,3,0,0,1,0,0,2,0,2,1,1,4,2,0
casticin,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC)O,TP53,casticin results in decreased expression of TP53 protein,decreases^expression,374.344,374.344,374.10017,2.3995,-3.265,8,2,271.93,0.32817,103.68,-0.10513,high,high,none,none,0.51852,0.32187,0.91385,1,27,8,0,8,0,5,3,12,11,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
"5,7,3'-trihydroxy-3,4'-dimethoxyflavone",COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)O,CDK1,"5,7,3'-trihydroxy-3,4'-dimethoxyflavone affects the phosphorylation of CDK1 protein",affects^phosphorylation,330.291,330.291,330.073955,2.1938,-2.933,7,3,233.76,0.35224,105.45,-0.10513,none,none,none,none,0.5,0.32361,0.86986,1,24,7,0,7,0,3,3,12,8,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
calycosin-7-O-beta-D-glucoside,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,TXN,calycosin-7-O-beta-D-glucoside results in decreased expression of TXN protein,decreases^expression,446.407,446.407,446.1213,-0.0864,-2.927,10,5,308.75,0.38394,155.14,-3.4398,none,high,none,none,0.5625,0.43253,0.89639,1,32,10,0,10,5,5,4,12,16,4,2,2,1,2,2,0,0,2,1,2,0,0,0,0,0,0,0,0
trachelogenin,COC1=C(C=C(C=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)O)OC)O)OC,STAT3,trachelogenin inhibits the reaction [IL6 results in increased expression of STAT3 protein],decreases^reaction|increases^expression,388.415,388.415,388.152205,2.0231,-2.871,7,2,290.94,0.27236,94.45,1.3365,none,none,none,none,0.53571,0.48688,0.83521,1,28,7,0,7,2,7,3,12,14,3,2,1,1,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0
"5,7-dihydroxy-3-(3-hydroxy-4-methoxybenzyl)-6-methoxychroman-4-one",COC1=C(C=C(C=C1)CC2COC3=C(C2=O)C(=C(C(=C3)O)OC)O)O,AKT1,"5,7-dihydroxy-3-(3-hydroxy-4-methoxybenzyl)-6-methoxychroman-4-one analog inhibits the reaction [VEGFA protein results in increased phosphorylation of AKT1 protein]",decreases^reaction|increases^phosphorylation,346.334,346.334,346.105255,2.2107,-2.877,7,3,250.86,0.32823,105.45,0.18509,none,none,none,none,0.56,0.40113,0.8577,1,25,7,0,7,1,4,3,12,11,3,2,1,1,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0
Glyburide,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,TP53,Glyburide results in increased expression of TP53 mRNA,increases^expression,494.01,494.01,493.143819,3.9494,-5.398,8,3,364.48,0.27173,121.98,4.5284,none,none,none,none,0.60606,0.54958,0.78531,1,33,10,0,10,0,7,3,12,11,3,3,0,1,1,2,1,1,2,0,0,0,3,0,0,0,0,0,0
glycitein,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O,TP53,glycitein results in increased expression of TP53 protein,increases^expression,284.266,284.266,284.068475,1.9029,-3.041,5,2,206.94,0.28627,75.99,0.036465,none,none,high,none,0.57143,0.28339,0.82626,1,21,5,0,5,0,2,3,12,5,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
glycitin,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)OC4C(C(C(C(O4)CO)O)O)O,RASSF5,[daidzein co-treated with daidzin co-treated with genistin co-treated with Genistein co-treated with glycitin co-treated with glycitein] affects the expression of RASSF5 mRNA,affects^cotreatment|affects^expression,446.407,446.407,446.1213,-0.0864,-2.927,10,5,308.75,0.38394,155.14,-3.4398,none,high,high,none,0.53125,0.35157,0.91503,1,32,10,0,10,5,5,4,12,16,4,2,2,1,2,2,0,0,2,1,2,0,0,0,0,0,0,0,0
bergenin,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O,RELA,bergenin inhibits the reaction [Hydrogen Peroxide results in increased phosphorylation of RELA protein],decreases^reaction|increases^phosphorylation,328.272,328.272,328.079435,-1.626,-0.949,9,5,214.28,0.50653,145.91,-1.6415,none,none,high,none,0.43478,0.32094,0.94967,1,23,9,0,9,5,2,3,6,15,3,1,2,1,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0
jaceosidin,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)O,RELA,RELA protein inhibits the reaction [jaceosidin results in decreased expression of CFLAR protein],decreases^expression|decreases^reaction,330.291,330.291,330.073955,2.1957,-2.892,7,3,235.55,0.34956,105.45,0.40331,high,low,none,none,0.54167,0.28692,0.87401,1,24,7,0,7,0,3,3,12,8,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
Silybin,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,TP53,Caffeine inhibits the reaction [Silybin results in increased phosphorylation of TP53 protein],decreases^reaction|increases^phosphorylation,482.44,482.44,482.1213,2.1266,-3.406,10,5,331.3,0.3578,155.14,0.22481,none,none,none,none,0.45714,0.30233,0.9393,1,35,10,0,10,4,4,5,18,15,5,3,2,0,2,3,0,0,3,0,2,0,0,0,0,0,0,0,0
Silymarin,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,CDK1,Silymarin results in decreased expression of CDK1 protein,decreases^expression,482.44,482.44,482.1213,2.1266,-3.406,10,5,331.3,0.3578,155.14,0.22481,none,none,none,none,0.45714,0.30233,0.9393,1,35,10,0,10,4,4,5,18,15,5,3,2,0,2,3,0,0,3,0,2,0,0,0,0,0,0,0,0
isosilybin A,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=CC(=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,CDK1,isosilybin A results in decreased expression of CDK1 protein,decreases^expression,482.44,482.44,482.1213,2.1266,-3.406,10,5,331.3,0.3578,155.14,0.22481,none,none,none,none,0.48571,0.30233,0.9389,1,35,10,0,10,4,4,5,18,15,5,3,2,0,2,3,0,0,3,0,2,0,0,0,0,0,0,0,0
lariciresinol,COC1=C(C=CC(=C1)CC2COC(C2CO)C3=CC(=C(C=C3)O)OC)O,UBC,lariciresinol results in increased expression of UBC protein,increases^expression,360.405,360.405,360.15729,2.2846,-2.477,6,3,271.87,0.2549,88.38,-0.47393,none,none,none,none,0.53846,0.43391,0.8075,1,26,6,0,6,3,6,3,12,14,3,2,1,1,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0
GSK0660,COC1=C(C=CC(=C1)NC2=CC=CC=C2)NS(=O)(=O)C3=C(SC=C3)C(=O)OC,AKT1,"GSK0660 inhibits the reaction [(4-(((2-(3-fluoro-4-(trifluoromethyl)phenyl)-4-methyl-1,3-thiazol-5-yl)methyl)sulfanyl)-2-methylphenoxy)acetic acid results in increased phosphorylation of AKT1 protein]",decreases^reaction|increases^phosphorylation,418.493,418.493,418.065713,3.1987,-4.696,7,2,302.49,0.34679,130.35,-6.4843,high,low,low,high,0.57143,0.50607,0.84245,1,28,9,0,9,0,7,3,17,5,3,2,1,0,0,3,0,0,2,0,0,1,1,1,0,1,0,0,0
eupafolin,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O,JUN,eupafolin inhibits the reaction [Lipopolysaccharides results in increased phosphorylation of JUN protein],decreases^reaction|increases^phosphorylation,316.264,316.264,316.058305,1.92,-2.578,7,4,219.64,0.389,116.45,0.40331,high,none,none,none,0.56522,0.28236,0.86692,1,23,7,0,7,0,2,3,12,7,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
"5,7-dihydroxy-6-methoxy-2-phenylchromen-4-one",COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O,TP53,"5,7-dihydroxy-6-methoxy-2-phenylchromen-4-one results in increased expression of TP53 protein modified form",increases^expression,284.266,284.266,284.068475,2.6114,-3.17,5,2,206.94,0.28627,75.99,0.40331,none,none,none,none,0.57143,0.26532,0.84972,1,21,5,0,5,0,2,3,12,5,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
columbamine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)O)OC,STAT3,columbamine inhibits the reaction [CSF2 protein results in increased phosphorylation of STAT3 protein],decreases^reaction|increases^phosphorylation,338.382,338.382,338.139234,-0.0048001,-3.68,5,1,252.07,0.18193,51.8,-2.2481,none,none,none,none,0.56,0.11614,0.92127,1,25,5,0,5,0,3,4,16,9,4,2,2,0,1,3,0,0,2,0,1,1,0,0,0,0,1,0,0
Aflatoxin M1,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C(=C1)OC5C4(C=CO5)O,CDK1,Aflatoxin M1 results in decreased expression of CDK1 mRNA,decreases^expression,328.275,328.275,328.058305,0.6222,-2.764,7,1,213.22,0.37135,91.29,-2.1275,none,none,high,high,0.41667,0.020101,1.0063,1,24,7,0,7,2,1,5,6,10,5,2,3,0,4,1,0,1,1,0,3,0,0,0,0,0,0,0,0
aflatoxin G1,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,TP53,aflatoxin G1 results in increased activity of TP53 protein,increases^activity,328.275,328.275,328.058305,0.9548,-2.977,7,0,218.96,0.34746,80.29,-5.8426,none,none,high,high,0.41667,0.067315,0.98203,1,24,7,0,7,2,1,5,6,10,5,1,4,0,4,1,0,0,1,0,4,0,0,0,0,0,0,0,0
tyrphostin AG825,COC1=CC(=CC(=C1O)CSC2=NC3=CC=CC=C3S2)C=C(C#N)C(=O)N,TP53,tyrphostin AG825 inhibits the reaction [sodium arsenite results in increased expression of TP53 protein],decreases^reaction|increases^expression,397.478,397.478,397.055482,2.9757,-5.334,6,2,294.87,0.3859,162.77,-2.212,none,none,low,none,0.51852,0.44227,0.8153,1,27,8,0,8,0,6,3,15,5,3,2,1,0,0,3,0,0,2,0,0,1,1,0,0,0,1,0,0
piperlongumine,COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCC=CC2=O,TP53,piperlongumine affects the localization of TP53 protein,affects^localization,317.34,317.34,317.126324,1.7755,-2.393,6,0,252.86,0.23582,65.07,0.4941,none,none,none,none,0.56522,0.39076,0.73618,1,23,6,0,6,0,5,2,6,8,2,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
syringin,COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)OC)C=CCO,TP53,syringin results in increased expression of TP53 protein,increases^expression,372.369,372.369,372.142035,-0.6515,-1.643,9,5,272.55,0.38708,138.07,-4.1548,none,none,none,high,0.53846,0.55,0.81951,1,26,9,0,9,5,7,2,6,18,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
(E)-4-((2-N-(4-methoxybenzenesulfonyl)amino)stilbazole)1-oxide,COC1=CC=C(C=C1)S(=O)(=O)N=C2C=CC=CC2=CC=C3C=CN(C=C3)O,CDKN1A,(E)-4-((2-N-(4-methoxybenzenesulfonyl)amino)stilbazole)1-oxide results in increased expression of CDKN1A mRNA,increases^expression,382.439,382.439,382.098728,1.759,-3.155,6,1,292.14,0.22845,87.58,2.3853,none,none,none,none,0.62963,0.40844,0.77811,1,27,7,0,7,0,3,3,6,5,3,2,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0
skullcapflavone II,COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,MAPK14,skullcapflavone II binds to MAPK14 protein,affects^binding,374.344,374.344,374.10017,2.4014,-3.224,8,2,273.72,0.32603,103.68,0.40331,high,high,none,none,0.44444,0.32597,0.91714,1,27,8,0,8,0,5,3,12,11,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
OSI 027,COC1=CC=CC2=C1NC(=C2)C3=C4C(=NC=NN4C(=N3)C5CCC(CC5)C(=O)O)N,CCND1,[apabetalone co-treated with OSI 027] results in decreased expression of CCND1 protein,affects^cotreatment|decreases^expression,406.445,406.445,406.175339,1.4893,-4.27,9,3,300.14,0.35403,131.42,1.8328,none,none,none,none,0.5,0.33839,0.96327,1,30,9,0,9,0,4,5,18,9,5,2,3,1,1,4,1,1,1,0,0,3,0,1,0,1,5,1,1
picrasidine I,COC1=CN=C(C2=C1C3=C(N2)C(=CC=C3)O)C=C,CDK2,picrasidine I affects the expression of CDK2 protein,affects^expression,240.261,240.261,240.089878,2.3562,-3.398,4,2,183.94,0.26128,58.14,-3.5278,low,none,none,none,0.44444,0.01954,0.88837,1,18,4,0,4,0,2,3,13,3,3,1,2,0,0,3,0,0,1,0,0,2,0,0,0,0,2,0,0
SB 203580,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,TP53,SB 203580 inhibits the reaction [[Cisplatin co-treated with fisetin] results in increased phosphorylation of TP53 protein],affects^cotreatment|decreases^reaction|increases^phosphorylation,377.442,377.442,377.09981,3.5687,-5.242,4,1,280.96,0.20875,77.85,-0.19517,none,none,none,none,0.51852,0.37213,0.83016,1,27,6,0,6,1,4,4,23,2,4,2,2,0,0,4,0,0,2,0,0,2,0,0,0,0,3,1,0
5'-methylthioadenosine,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,TP53,5'-methylthioadenosine results in increased expression of TP53 protein,increases^expression,297.338,297.338,297.08956,-0.6637,-3.207,8,3,204.57,0.53155,144.61,-0.33194,none,none,none,none,0.55,0.40622,0.87805,1,20,9,0,9,4,3,3,9,10,3,0,3,1,1,2,0,0,0,1,1,2,0,1,0,1,4,1,0
