Name,SMILES,Interacts with,Interaction,InteractionActions,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens
"(5-(2,4-bis((3S)-3-methylmorpholin-4-yl)pyrido(2,3-d)pyrimidin-7-yl)-2-methoxyphenyl)methanol",CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOCC5C,RB1,"(5-(2,4-bis((3S)-3-methylmorpholin-4-yl)pyrido(2,3-d)pyrimidin-7-yl)-2-methoxyphenyl)methanol affects the reaction [N-(4-(2-amino-3-chloropyridin-4-yloxy)-3-fluorophenyl)-4-ethoxy-1-(4-fluorophenyl)-2-oxo-1,2-dihydropyridine-3-carboxamide affects the phosphorylation of and affects the expression of RB1 protein]",affects^expression|affects^phosphorylation|affects^reaction,465.552,465.552,465.237605,2.4865,-5.601,9,1,351.95,0.23614,93.07,1.4071,none,none,none,none,0.44118,0.35741,0.9095,1,34,9,0,9,2,5,5,16,16,5,1,4,2,2,3,0,0,1,2,2,2,0,2,0,2,3,2,0
vistusertib,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOCC5C,AKT1,vistusertib results in decreased phosphorylation of AKT1 protein,decreases^phosphorylation,462.552,462.552,462.237939,2.5926,-5.704,9,1,351.05,0.24073,92.71,2.8702,none,none,none,none,0.44118,0.35849,0.91193,1,34,9,0,9,2,4,5,16,14,5,1,4,2,2,3,0,0,1,2,2,2,1,2,0,2,3,2,0
beclomethasone 17-monopropionate,CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)C(=O)CO,IL6,"beclomethasone 17-monopropionate inhibits the reaction [lipopolysaccharide, E. coli O26-B6 results in increased secretion of IL6 protein]",decreases^reaction|increases^secretion,464.984,464.984,464.196567,2.9232,-4.147,6,2,325.32,0.23153,100.9,4.5162,none,none,high,none,0.4375,0.35436,1.0107,1,32,7,0,7,8,5,4,0,21,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0
homocastasterone,CCC(C(C)C)C(C(C(C)C1CCC2C1(CCC3C2CC(=O)C4C3(CC(C(C4)O)O)C)C)O)O,TP53,homocastasterone results in increased expression of TP53 protein,increases^expression,478.711,478.711,478.365825,4.3556,-5.388,5,4,357.11,0.18325,97.99,1.6102,none,none,none,none,0.47059,0.5503,0.93361,1,34,5,0,5,13,6,4,0,32,4,4,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0
Simvastatin,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,TP53,pifithrin inhibits the reaction [Simvastatin results in increased expression of TP53 protein],decreases^reaction|increases^expression,418.572,418.572,418.271925,4.4608,-4.75,5,1,327.83,0.18052,72.83,0.66833,none,none,none,none,0.46667,0.50295,0.86954,1,30,5,0,5,7,7,3,0,22,3,2,1,1,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Lovastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,TP53,Lovastatin inhibits the reaction [Doxorubicin results in increased expression of TP53 protein],decreases^reaction|increases^expression,404.545,404.545,404.256275,3.895,-4.573,5,1,317.66,0.1863,72.83,1.6515,none,none,none,none,0.48276,0.49933,0.86791,1,29,5,0,5,8,7,3,0,21,3,2,1,1,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0
idelalisib,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,AKT1,AKT activator SC79 inhibits the reaction [[idelalisib co-treated with FASLG protein] results in decreased phosphorylation of AKT1 protein],affects^cotreatment|decreases^phosphorylation|decreases^reaction,415.431,415.431,415.155686,2.858,-6.049,8,2,307.08,0.28156,99.16,1.6037,high,high,low,high,0.3871,0.29893,0.95096,1,31,9,0,9,1,5,5,21,3,5,2,3,0,1,4,0,0,2,0,1,2,1,1,0,1,4,1,0
CRT 0066101,CCC(CNC1=NC(=NC=C1)C2=C(C=CC(=C2)C3=CN(N=C3)C)O)N,AKT1,CRT 0066101 results in decreased phosphorylation of AKT1 protein,decreases^phosphorylation,338.414,338.414,338.185509,1.0091,-4.416,7,3,269.13,0.29581,101.88,4.5101,none,none,none,none,0.6,0.45353,0.80343,1,25,7,0,7,1,6,3,17,7,3,1,2,0,0,3,0,0,1,0,0,2,0,2,1,1,4,1,0
olomoucine II,CCC(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3O,TP53,olomoucine II results in increased expression of TP53 protein,increases^expression,370.455,370.455,370.211724,2.2357,-3.635,8,4,291.78,0.30468,108.12,3.3898,none,none,none,high,0.48148,0.4192,0.85628,1,27,8,0,8,1,8,3,15,10,3,1,2,0,0,3,0,0,1,0,0,2,0,2,0,2,4,3,0
10-hydroxycamptothecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O,MDM2,MDM2 protein affects the susceptibility to 10-hydroxycamptothecin,affects^response to substance,364.356,364.356,364.105923,0.8381,-2.445,7,2,246.2,0.31194,99.96,5.3292,none,none,none,none,0.48148,0.097726,0.98232,1,27,7,0,7,1,1,5,10,8,5,1,4,1,3,2,0,0,1,1,3,1,1,0,0,0,1,0,0
