GeneSymbol,ChemicalName,Organism,Interaction,InteractionActions,PubMedIDs,ChemicalID,SMILES
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [KNG1 protein results in increased phosphorylation of and results in increased activity of MAPK1 protein],decreases^reaction|increases^activity|increases^phosphorylation,16674924,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [[KNG1 protein results in increased phosphorylation of and results in increased activity of MAPK1 protein] which results in increased abundance of Arachidonic Acids],decreases^reaction|increases^abundance|increases^activity|increases^phosphorylation,16674924,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [lead acetate results in increased phosphorylation of and results in increased activity of MAPK1 protein],decreases^reaction|increases^activity|increases^phosphorylation,11861786,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [lead acetate results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,15302094,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [lead nitrate results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,20850495,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Lead results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,24106166,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [lipopolysaccharide, Escherichia coli O111 B4 results in increased phosphorylation of MAPK1 protein]",decreases^reaction|increases^phosphorylation,15302094|21436242,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Lipopolysaccharides results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,22226621,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [[LM-1685 co-treated with carboxyamido-triazole] results in increased activity of MAPK1 protein],affects^cotreatment|decreases^reaction|increases^activity,15867384,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Luteolin results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,27474067,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
