GeneSymbol,SMILES,ChemicalName,Interaction,InteractionActions,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens
AKT1,[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[Ca+2],calcium fructoborate,calcium fructoborate affects the expression of AKT1 protein,affects^expression,774.258,367.09,367.104785,-5.2466,2.63,12,6,222,0.62432,176.76,-5.7909,none,none,none,none,0.52,0.21816,0.95583,3,25,13,0,12,8,4,4,0,24,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0
PTEN,[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[Ca+2],calcium fructoborate,calcium fructoborate results in increased expression of PTEN protein,increases^expression,774.258,367.09,367.104785,-5.2466,2.63,12,6,222,0.62432,176.76,-5.7909,none,none,none,none,0.52,0.21816,0.95583,3,25,13,0,12,8,4,4,0,24,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0
EIF4EBP1,[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[Ca+2],calcium fructoborate,calcium fructoborate affects the expression of EIF4EBP1 protein,affects^expression,774.258,367.09,367.104785,-5.2466,2.63,12,6,222,0.62432,176.76,-5.7909,none,none,none,none,0.52,0.21816,0.95583,3,25,13,0,12,8,4,4,0,24,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0
TSC2,[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[B-]12(OC3C(C(OC3(O1)CO)CO)O)OC4C(C(OC4(O2)CO)CO)O.[Ca+2],calcium fructoborate,calcium fructoborate results in increased expression of TSC2 protein,increases^expression,774.258,367.09,367.104785,-5.2466,2.63,12,6,222,0.62432,176.76,-5.7909,none,none,none,none,0.52,0.21816,0.95583,3,25,13,0,12,8,4,4,0,24,4,0,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0
TP53,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate promotes the reaction [TP53 protein binds to CDKN1A promoter],affects^binding|increases^reaction,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TP53,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of TP53 protein,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CDKN2A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of CDKN2A mRNA,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CDKN2A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of CDKN2A protein,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CDKN1A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate promotes the reaction [TP53 protein binds to CDKN1A promoter],affects^binding|increases^reaction,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CDKN1A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of CDKN1A mRNA,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CDKN1A,[Be+2].[O-]S(=O)(=O)[O-],beryllium sulfate,beryllium sulfate results in increased expression of CDKN1A protein,increases^expression,105.074,98.0779,97.96738,-3.4103,1.524,4,2,54.78,1,82.98,-2.0209,high,high,high,high,0.6,0,0.69315,2,5,5,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AKT1,[C-]#[O+],Carbon Monoxide,Carbon Monoxide inhibits the reaction [IL18 protein results in decreased phosphorylation of AKT1 protein],decreases^phosphorylation|decreases^reaction,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTEN,[C-]#[O+],Carbon Monoxide,Carbon Monoxide inhibits the reaction [IL18 protein results in increased expression of PTEN protein],decreases^reaction|increases^expression,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK14,[C-]#[O+],Carbon Monoxide,MAPK14 protein affects the reaction [BCL2A1 protein inhibits the reaction [NFKBIA protein inhibits the reaction [[HMOX1 protein results in increased chemical synthesis of Carbon Monoxide] which results in decreased susceptibility to TNF protein]]],affects^reaction|decreases^reaction|decreases^response to substance|increases^chemical synthesis,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK14,[C-]#[O+],Carbon Monoxide,MAPK14 protein affects the reaction [BIRC3 protein inhibits the reaction [NFKBIA protein inhibits the reaction [[HMOX1 protein results in increased chemical synthesis of Carbon Monoxide] which results in decreased susceptibility to TNF protein]]],affects^reaction|decreases^reaction|decreases^response to substance|increases^chemical synthesis,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6,[C-]#[O+],Carbon Monoxide,[Air Pollutants results in increased abundance of [Particulate Matter co-treated with Carbon co-treated with Sulfur Dioxide co-treated with Nitrogen Oxides co-treated with Carbon Monoxide]] which results in increased secretion of IL6 protein,affects^cotreatment|increases^abundance|increases^secretion,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6,[C-]#[O+],Carbon Monoxide,Carbon Monoxide inhibits the reaction [TNF protein results in increased expression of IL6 protein],decreases^reaction|increases^expression,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6,[C-]#[O+],Carbon Monoxide,Carbon Monoxide results in increased expression of IL6 protein,increases^expression,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6,[C-]#[O+],Carbon Monoxide,FGB gene SNP affects the reaction [Carbon Monoxide results in increased expression of IL6 protein],affects^reaction|increases^expression,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6,[C-]#[O+],Carbon Monoxide,IL6 gene SNP affects the reaction [Carbon Monoxide results in increased expression of IL6 protein],affects^reaction|increases^expression,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RELA,[C-]#[O+],Carbon Monoxide,[RELA protein co-treated with REL protein] inhibits the reaction [NFKBIA protein inhibits the reaction [[HMOX1 protein results in increased chemical synthesis of Carbon Monoxide] which results in decreased susceptibility to TNF protein]],affects^cotreatment|decreases^reaction|decreases^response to substance|increases^chemical synthesis,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RELA,[C-]#[O+],Carbon Monoxide,RELA protein inhibits the reaction [NFKBIA protein inhibits the reaction [[HMOX1 protein results in increased chemical synthesis of Carbon Monoxide] which results in decreased susceptibility to TNF protein]],decreases^reaction|decreases^response to substance|increases^chemical synthesis,28.01,28.01,27.994915,0,-0.53,1,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP53,[C-]#[W+],tungsten carbide,[tungsten carbide co-treated with Cobalt] results in increased expression of and results in increased stability of TP53 protein,affects^cotreatment|increases^expression|increases^stability,195.851,195.851,195.950928,0,-0.53,0,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIRT1,[C-]#[W+],tungsten carbide,[tungsten carbide co-treated with Cobalt] results in decreased expression of SIRT1 mRNA,affects^cotreatment|decreases^expression,195.851,195.851,195.950928,0,-0.53,0,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6,[C-]#[W+],tungsten carbide,[tungsten carbide co-treated with Cobalt] results in decreased expression of IL6 mRNA,affects^cotreatment|decreases^expression,195.851,195.851,195.950928,0,-0.53,0,0,0,0,0,-1,none,none,none,none,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGFB1,[C-]#N.[Au+],gold cyanide,gold cyanide inhibits the reaction [TGFB1 protein results in increased phosphorylation of SMAD3 protein],decreases^reaction|increases^phosphorylation,222.988,26.018,26.003074,-0.2778,-0.167,1,0,13.56,1,23.79,-1.7675,none,none,none,none,1,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGFB1,[C-]#N.[Au+],gold cyanide,gold cyanide results in decreased activity of TGFB1 protein,decreases^activity,222.988,26.018,26.003074,-0.2778,-0.167,1,0,13.56,1,23.79,-1.7675,none,none,none,none,1,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP53,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Nitroprusside results in increased expression of TP53 protein,increases^expression,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYC,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Nitroprusside results in decreased expression of MYC mRNA,decreases^expression,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDK1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Nitroprusside results in decreased phosphorylation of CDK1 protein,decreases^phosphorylation,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,[Nitroprusside results in increased expression of ITGB3 protein] which results in increased phosphorylation of and results in increased activity of AKT1 protein,increases^activity|increases^expression|increases^phosphorylation,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Nitroprusside results in increased phosphorylation of AKT1 protein,increases^phosphorylation,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,"N-(oxo-5,6-dihydrophe0thridin-2-yl)-N,N-dimethylacetamide hydrochloride promotes the reaction [Nitroprusside results in increased phosphorylation of AKT1 protein]",increases^phosphorylation|increases^reaction,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,olaparib promotes the reaction [Nitroprusside results in increased phosphorylation of AKT1 protein],increases^phosphorylation|increases^reaction,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,PARP1 protein affects the reaction [Nitroprusside results in increased phosphorylation of AKT1 protein],affects^reaction|increases^phosphorylation,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,veliparib promotes the reaction [Nitroprusside results in increased phosphorylation of AKT1 protein],increases^phosphorylation|increases^reaction,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFKB1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Bee Venoms inhibits the reaction [Nitroprusside results in increased localization of NFKB1 protein],decreases^reaction|increases^localization,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFKB1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Melitten inhibits the reaction [Nitroprusside results in increased localization of NFKB1 protein],decreases^reaction|increases^localization,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFKB1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,[Melitten inhibits the reaction [Nitroprusside results in increased phosphorylation of CHUK protein]] which results in decreased localization of NFKB1 protein,decreases^localization|decreases^reaction|increases^phosphorylation,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFKB1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,[Melitten inhibits the reaction [Nitroprusside results in increased phosphorylation of NFKBIA protein]] which results in decreased localization of NFKB1 protein,decreases^localization|decreases^reaction|increases^phosphorylation,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFKB1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Nitroprusside results in increased activity of NFKB1 protein,increases^activity,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFKB1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Nitroprusside results in increased localization of NFKB1 protein,increases^localization,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFKB1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,pyrazolanthrone inhibits the reaction [Bee Venoms inhibits the reaction [Nitroprusside results in increased localization of NFKB1 protein]],decreases^reaction|increases^localization,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFKB1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,pyrazolanthrone inhibits the reaction [Melitten inhibits the reaction [Nitroprusside results in increased localization of NFKB1 protein]],decreases^reaction|increases^localization,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIRT1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Nitroprusside results in increased expression of and results in increased activity of SIRT1 protein,increases^activity|increases^expression,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK3,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Deferoxamine inhibits the reaction [Nitroprusside results in decreased phosphorylation of MAPK3 protein],decreases^phosphorylation|decreases^reaction,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK3,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,GOSR1 protein affects the reaction [Deferoxamine inhibits the reaction [Nitroprusside results in decreased phosphorylation of MAPK3 protein]],affects^reaction|decreases^phosphorylation|decreases^reaction,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK3,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,MAPK3 protein affects the reaction [GOSR1 protein affects the reaction [Nitroprusside results in decreased expression of NFE2L2 protein]],affects^reaction|decreases^expression,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK3,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Nitroprusside results in decreased phosphorylation of MAPK3 protein,decreases^phosphorylation,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK3,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,[Nitroprusside results in increased expression of ITGB3 protein] which results in increased phosphorylation of and results in increased activity of MAPK3 protein,increases^activity|increases^expression|increases^phosphorylation,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RELA,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Bee Venoms inhibits the reaction [Nitroprusside results in increased localization of RELA protein],decreases^reaction|increases^localization,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RELA,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Melitten inhibits the reaction [Nitroprusside results in increased localization of RELA protein],decreases^reaction|increases^localization,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RELA,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Nitroprusside results in increased activity of RELA protein,increases^activity,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RELA,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Nitroprusside results in increased localization of RELA protein,increases^localization,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RELA,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,pyrazolanthrone inhibits the reaction [Bee Venoms inhibits the reaction [Nitroprusside results in increased localization of RELA protein]],decreases^reaction|increases^localization,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RELA,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,pyrazolanthrone inhibits the reaction [Melitten inhibits the reaction [Nitroprusside results in increased localization of RELA protein]],decreases^reaction|increases^localization,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Deferoxamine inhibits the reaction [Nitroprusside results in decreased phosphorylation of MAPK1 protein],decreases^phosphorylation|decreases^reaction,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,GOSR1 protein affects the reaction [Deferoxamine inhibits the reaction [Nitroprusside results in decreased phosphorylation of MAPK1 protein]],affects^reaction|decreases^phosphorylation|decreases^reaction,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,Nitroprusside results in decreased phosphorylation of MAPK1 protein,decreases^phosphorylation,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK1,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2],Nitroprusside,[Nitroprusside results in increased expression of ITGB3 protein] which results in increased phosphorylation of and results in increased activity of MAPK1 protein,increases^activity|increases^expression|increases^phosphorylation,215.941,30.006,29.997989,0,-0.53,2,0,13.56,1,23.79,-5.7875,none,none,none,none,1,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
