Name,SMILES,Total Molweight,cLogP,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Rotatable Bonds,Senotherapeutics:,Leadlikeness
palbociclib,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,447.541,2.003,9,2,337.84,0.26347,5,1,True
paxilline,CC12CCC3C(=CC(=O)C(O3)C(C)(C)O)C1(CCC4C2(C5=C(C4)C6=CC=CC=C6N5)C)O,435.562,3.2622,5,3,305.57,0.20692,1,1,True
pazopanib,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,437.527,1.7881,9,2,320.76,0.30752,5,1,True
picrasidine I,COC1=CN=C(C2=C1C3=C(N2)C(=CC=C3)O)C=C,240.261,2.3562,4,2,183.94,0.26128,2,1,True
pimobendan,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC,334.378,2.8555,6,2,255.41,0.27787,3,1,True
piperlongumine,COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCC=CC2=O,317.34,1.7755,6,0,252.86,0.23582,5,1,True
pomalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,273.247,-0.5679,7,2,187.56,0.43954,1,1,True
pomiferin,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC(=C(C=C4)O)O)C=CC(O2)(C)C)C,420.46,4.6764,6,3,311.95,0.2319,3,1,True
praeruptorin A,CC=C(C)C(=O)OC1C(C2=C(C=CC3=C2OC(=O)C=C3)OC1(C)C)OC(=O)C,386.399,3.342,7,0,287.43,0.27527,5,1,True
prexasertib,COC1=C(C(=CC=C1)OCCCN)C2=CC(=NN2)NC3=NC=C(N=C3)C#N,365.396,0.8206,9,3,293.86,0.36477,8,1,True
ptaquiloside,CC1CC2(C=C(C3(CC3)C(C2C1=O)(C)O)C)OC4C(C(C(C(O4)CO)O)O)O,398.45,-0.5419,8,5,264.26,0.37289,3,1,True
ravoxertinib,CN1C(=CC=N1)NC2=NC=CC(=N2)C3=CC(=O)N(C=C3)C(CO)C4=CC(=C(C=C4)Cl)F,440.865,1.4328,8,2,322.12,0.25124,6,1,True
rebamipide,C1=CC=C2C(=C1)C(=CC(=O)N2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl,370.791,1.6962,6,3,268.43,0.27992,5,1,True
resiquimod,CCOCC1=NC2=C(N1CC(C)(C)O)C3=CC=CC=C3N=C2N,314.388,1.5777,6,2,242.52,0.27701,5,1,True
retrorsine,CC=C1CC(C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(CO)O)C,351.398,0.8397,7,2,255.91,0.29632,1,1,True
riddelliine,CC=C1CC(=C)C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(CO)O,349.382,1.0423,7,2,253.9,0.29866,1,1,True
rubitecan,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5[N+](=O)[O-])N=C4C3=C2)O,393.354,0.2622,9,1,263.52,0.35716,2,1,True
ruxolitinib,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,306.372,1.6767,6,1,244.68,0.27518,4,1,True
salubrinal,C1=CC=C(C=C1)C=CC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC=CC3=C2N=CC=C3,479.818,4.7315,5,3,346.89,0.24904,6,1,True
sapanisertib,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(C=C3)OC(=N4)N)N,309.332,1.6302,8,2,230.21,0.4144,2,1,True
selinexor,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,443.31,2.572,8,2,303.11,0.28607,7,1,True
senecionine,CC=C1CC(C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(C)O)C,335.399,1.7664,6,1,248.06,0.25288,0,1,True
seneciphylline,CC=C1CC(=C)C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(C)O,333.383,1.969,6,1,246.05,0.25495,0,1,True
senkirkine,CC=C1CC(C(C(=O)OCC2=CCN(CCC(C2=O)OC1=O)C)(C)O)C,365.424,1.5198,7,1,279.07,0.27151,0,1,True
sitaxsentan,CC1=CC2=C(C=C1CC(=O)C3=C(C=CS3)S(=O)(=O)NC4=C(C(=NO4)C)Cl)OCO2,454.91,3.3593,8,1,308.92,0.38366,5,1,True
skullcapflavone II,COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,374.344,2.4014,8,2,273.72,0.32603,5,1,True
sotrastaurin,CN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)C4=C(C(=O)NC4=O)C5=CNC6=CC=CC=C65,438.49,1.5001,8,2,320.09,0.25171,3,1,True
sparstolonin B,C1=CC2=C(C=C1O)C3=COC(=C4C3=C(O2)C=CC4=O)O,268.224,1.3004,5,2,180.26,0.32864,0,1,True
sulindac sulfone,CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)(=O)C)C=CC(=C2)F)CC(=O)O,372.415,2.6067,4,1,264.46,0.20691,4,1,True
syringin,COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)OC)C=CCO,372.369,-0.6515,9,5,272.55,0.38708,7,1,True
talazoparib,CN1C(=NC=N1)C2C(NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,380.357,2.0485,7,2,266.1,0.28666,2,1,True
tephrosin,CC1(C=CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4(C3=O)O)OC)OC)C,410.421,3.1208,7,1,289.24,0.26324,2,1,True
tetracycline CMT-3,C1C2CC3=C(C(=CC=C3)O)C(=C2C(=O)C4(C1CC(=O)C(=C4O)C(=O)N)O)O,371.344,-0.2949,8,5,242.46,0.44044,1,1,True
tipifarnib,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,489.405,4.03,5,1,354.05,0.14038,4,1,True
tofacitinib,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,312.376,1.1936,7,1,246.07,0.28297,3,1,True
tolmetin glucuronide,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)OC3C(C(C(C(O3)C(=O)O)O)O)O,433.412,-0.6067,10,4,308.15,0.3842,7,1,True
trachelogenin,COC1=C(C=C(C=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)O)OC)O)OC,388.415,2.0231,7,2,290.94,0.27236,7,1,True
trichodesmine,CC(C)C1C(=O)OC2CCN3C2C(=CC3)COC(=O)C(C1(C)O)(C)O,353.413,0.5349,7,2,251.11,0.30198,1,1,True
triciribine,CN1C2=NC=NC3=C2C(=CN3C4C(C(C(O4)CO)O)O)C(=N1)N,320.308,-1.4358,10,4,214.44,0.50569,2,1,True
tubocapsenolide A,CC1=C(C(=O)OC(C1)C(C)C2(C(CC3=C2CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)O)C)C,468.588,2.6348,6,2,329.52,0.24256,2,1,True
tyrphostin AG825,COC1=CC(=CC(=C1O)CSC2=NC3=CC=CC=C3S2)C=C(C#N)C(=O)N,397.478,2.9757,6,2,294.87,0.3859,6,1,True
vernodalin,C=CC12CC(C3C(C1C(=C)C(=O)OC2)OC(=O)C3=C)OC(=O)C(=C)CO,360.361,0.8315,7,1,257.08,0.31982,5,1,True
vistusertib,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOCC5C,462.552,2.5926,9,1,351.05,0.24073,4,1,True
withaferin A,CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)CO,470.604,2.4938,6,2,334.36,0.23905,3,1,True
withanone,CC1=C(C(=O)OC(C1)C(C)C2(CCC3C2(CCC4C3C5C(O5)C6(C4(C(=O)C=CC6)C)O)C)O)C,470.604,2.5971,6,2,330.77,0.24165,2,1,True
zomepirac glucuronide,CC1=C(N(C(=C1)CC(=O)OC2C(C(C(C(O2)C(=O)O)O)O)O)C)C(=O)C3=CC=C(C=C3)Cl,467.857,-0.0007,10,4,323.57,0.36589,7,1,True
zopolrestat,C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,419.382,2.9351,6,1,280.92,0.30461,5,1,True
