Name,SMILES,Total Molweight,cLogP,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Rotatable Bonds,Senotherapeutics:,Leadlikeness
Crizotinib,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,450.344,3.5382,6,2,325.47,0.20137,5,1,True
Cytochalasin B,CC1CCCC(C=CC(=O)OC23C(C=CC1)C(C(=C)C(C2C(NC3=O)CC4=CC=CC=C4)C)O)O,479.615,4.382,6,3,369.4,0.19962,2,1,True
Dasatinib,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,488.014,3.6259,9,3,361.62,0.30261,7,1,True
Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,392.465,1.2884,5,3,268.83,0.2432,2,1,True
Dicumarol,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,336.298,2.588,6,2,233.82,0.30913,2,1,True
ETP-45299,CC1=CC2=NC=C(N2N=C1NCC3=CC=C(C=C3)OC)C(=O)NC4=CC=CC=C4,387.442,2.4542,7,2,304.5,0.2491,6,1,True
Ellagic Acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,302.194,1.2774,8,4,186.92,0.52686,0,1,True
FR 180204,C1=CC=C(C=C1)C2=NN3C=CC=CC3=C2C4=CC5=C(NN=C5N=N4)N,327.35,1.1184,7,2,245.76,0.32996,2,1,True
Floxacillin,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,453.877,2.8046,8,2,299.78,0.36627,4,1,True
Fluorescein-5-isothiocyanate,C1=CC2=C(C=C1N=C=S)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,389.386,4.9759,6,2,271.92,0.36316,1,1,True
GDP 366,CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=NC=NC(=C34)N,375.455,3.9504,6,3,282.29,0.33133,3,1,True
GLX351322,CCOC(=O)C1=C(SC2=C1CCC2)NC(=O)CN3CCN(CC3)C(=O)C4=CC=CO4,431.512,2.6147,8,1,323.06,0.3162,7,1,True
GSK0660,COC1=C(C=CC(=C1)NC2=CC=CC=C2)NS(=O)(=O)C3=C(SC=C3)C(=O)OC,418.493,3.1987,7,2,302.49,0.34679,7,1,True
GSK1210151A,CC1=C(C(=NO1)C)C2=C(C=C3C(=C2)N=CC4=C3N(C(=O)N4)C(C)C5=CC=CC=N5)OC,415.452,2.7788,8,1,310.9,0.27362,4,1,True
GSK2141795,CN1C(=C(C=N1)Cl)C2=C(OC(=C2)C(=O)NC(CC3=CC(=C(C=C3)F)F)CN)Cl,429.253,2.4936,6,2,303.98,0.23594,6,1,True
GSK690693,CCN1C2=C(C(=NC=C2OCC3CCCNC3)C#CC(C)(C)O)N=C1C4=NON=C4N,425.491,1.8279,10,3,336.43,0.3409,6,1,True
GW 506033X,C1=CC2=C(C3=C1NC(=O)C3=CC4=CN=CN4)SC=N2,268.3,0.4343,5,2,191.07,0.42283,1,1,True
GW8510,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=CC3=C(NC4=C3C5=C(C=C4)N=CS5)O,449.514,2.6825,8,3,316.16,0.38253,4,1,True
Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,270.239,1.6272,5,3,191.03,0.32634,1,1,True
Glyburide,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,494.01,3.9494,8,3,364.48,0.27173,7,1,True
HTS 466284,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4,272.31,2.3687,4,1,213.23,0.21995,2,1,True
IC 87114,CC1=C2C(=CC=C1)N=C(N(C2=O)C3=CC=CC=C3C)CN4C=NC5=C(N=CN=C54)N,397.441,2.2895,8,1,297.18,0.2798,3,1,True
INCB054329,CC1=C(C(=NO1)C)C2=C3C4=C(C=C2)NC(=O)N4C(CO3)C5=CC=CC=N5,348.361,2.3432,7,1,253.28,0.29256,2,1,True
INCB057643,CC1(C(=O)N(C2=CC(=CC(=C2O1)C3=CN(C(=O)C4=C3C=CN4)C)S(=O)(=O)C)C)C,415.469,0.5127,8,1,286.69,0.2991,2,1,True
Indirubin E804,C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=NOCCC(CO)O,365.388,2.734,7,4,272.46,0.31678,6,1,True
JTE 013,CC1=NN(C2=C1C(=CC(=N2)NNC(=O)NC3=CC(=NC(=C3)Cl)Cl)C(C)C)C,408.292,4.2542,8,3,297.61,0.293,4,1,True
Ku 0063794,CC1CN(CC(O1)C)C2=NC3=C(C=CC(=N3)C4=CC(=C(C=C4)OC)CO)C(=N2)N5CCOCC5,465.552,2.4865,9,1,351.95,0.23614,5,1,True
LGK974,CC1=CC(=CN=C1C2=CC(=NC=C2)C)CC(=O)NC3=NC=C(C=C3)C4=NC=CN=C4,396.453,2.3943,7,1,313.83,0.25284,5,1,True
LY-2157299,CC1=NC(=CC=C1)C2=NN3CCCC3=C2C4=C5C=C(C=CC5=NC=C4)C(=O)N,369.427,3.2898,6,1,279.17,0.2439,3,1,True
Lovastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,404.545,3.895,5,1,317.66,0.1863,7,1,True
Luteolin,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.238,1.99,6,4,197.38,0.38221,1,1,True
MK 2206,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,407.476,3.8716,6,2,300.23,0.21917,3,1,True
Meloxicam,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,351.406,1.9072,7,2,236.1,0.42804,2,1,True
Meropenem,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,383.468,-3.1042,8,3,262.98,0.38547,5,1,True
Methylprednisolone,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,374.475,1.4107,5,3,264.57,0.24712,2,1,True
Minocycline,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,457.481,-1.0304,10,5,310.84,0.36639,3,1,True
Miransertib,C1CC(C1)(C2=CC=C(C=C2)N3C4=C(C=CC(=N4)C5=CC=CC=C5)N=C3C6=C(N=CC=C6)N)N,432.53,4.1126,6,2,327.85,0.21449,4,1,True
Mitomycin,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,334.331,-1.8035,9,3,227.5,0.50475,4,1,True
Monocrotaline,CC1C(=O)OC2CCN3C2C(=CC3)COC(=O)C(C1(C)O)(C)O,325.36,-0.1378,7,2,226.35,0.33501,0,1,True
Mycophenolic Acid,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O,320.34,2.297,6,2,244.49,0.29564,6,1,True
N'-(3-bromo-4-hydroxybenzylidene)-2-(9-oxo-10(9H)-acridinyl)acetohydrazide,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2CC(=O)NN=CC4=CC(=C(C=C4)O)Br,450.291,4.6874,6,2,300.04,0.21897,4,1,True
"N-(3-chloro-7-indolyl)-1,4-benzenedisulphonamide",C1=CC2=C(C(=C1)NS(=O)(=O)C3=CC=C(C=C3)S(=O)(=O)N)NC=C2Cl,385.851,1.3681,7,3,249.75,0.39191,3,1,True
N-(cyanomethyl)-4-(2-((4-(4-morpholinyl)phenyl)amino)-4-pyrimidinyl)benzamide,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=CC=C(C=C4)C(=O)NCC#N,414.468,2.5062,8,2,328.28,0.25896,6,1,True
"N-acetylglucosaminono-1,5-lactone O-(phenylcarbamoyl)oxime",CC(=O)NC1C(C(C(OC1=NOC(=O)NC2=CC=CC=C2)CO)O)O,353.33,-0.507,10,5,256.22,0.46761,5,1,True
NE-52-qq57,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C4=NN=C(O4)C5CCNCC5)C)C,416.527,3.5314,7,1,332.56,0.23274,5,1,True
NSC 689534,C1=CC=NC(=C1)CN(CC2=CC=CC=N2)C(=S)NN=CC3=CC=CC=N3,362.46,2.1455,6,1,295.81,0.29556,6,1,True
NSC 74859,CC1=CC=C(C=C1)S(=O)(=O)OCC(=O)NC2=CC(=C(C=C2)C(=O)O)O,365.361,1.1457,8,3,257.28,0.3977,6,1,True
NSC-87877,C1=CC2=C(C=C(C(=C2N=C1)O)N=NC3=CC4=C(C=C3)C=C(C=C4)S(=O)(=O)O)S(=O)(=O)O,459.458,0.5679,10,3,300.21,0.43453,4,1,True
NSC668394,C1=CC2=C(C(=O)C(=CC2=O)NCCC3=CC(=C(C(=C3)Br)O)Br)N=C1,452.101,2.8993,5,2,261.08,0.23598,4,1,True
Nocodazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,301.325,2.5322,6,2,221.11,0.41997,4,1,True
ON123300,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C4C=C(C(=O)N(C4=N3)C5CCCC5)C#N,429.526,2.6714,8,1,331.41,0.21318,4,1,True
OSI 027,COC1=CC=CC2=C1NC(=C2)C3=C4C(=NC=NN4C(=N3)C5CCC(CC5)C(=O)O)N,406.445,1.4893,9,3,300.14,0.35403,4,1,True
OTX015,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)NC4=CC=C(C=C4)O)C5=CC=C(C=C5)Cl)C,492.002,4.8541,7,2,358.69,0.274,4,1,True
Olanzapine,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,312.44,3.0388,4,1,236.55,0.21319,0,1,True
Omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,345.422,2.092,6,1,260.23,0.30223,5,1,True
PF 00477736,CN1C=C(C=N1)C2=C3C=NNC(=O)C4=C3C(=CC(=C4)NC(=O)C(C5CCCCC5)N)N2,419.488,0.8754,9,4,315.91,0.34064,4,1,True
PF 3758309,CC1=NC2=C(C(=N1)NC3=NNC4=C3CN(C4(C)C)C(=O)NC(CN(C)C)C5=CC=CC=C5)SC=C2,490.634,2.4762,9,3,368.67,0.29924,6,1,True
PI103,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,348.361,2.5871,7,1,256.38,0.28735,2,1,True
PIK 75,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)N=CC2=CN=C3N2C=C(C=C3)Br,452.288,1.1697,9,0,287.49,0.32342,4,1,True
PKI 166,CC(C1=CC=CC=C1)NC2=NC=NC3=C2C=C(N3)C4=CC=C(C=C4)O,330.39,3.5264,5,3,257.04,0.23533,4,1,True
PP242,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(N3)C=CC(=C4)O)N,308.344,1.7109,7,3,229.16,0.35844,2,1,True
PQQ Cofactor,C1=C(C2=C(C(=O)C(=O)C3=C2NC(=C3)C(=O)O)N=C1C(=O)O)C(=O)O,330.208,-0.8801,10,4,215.65,0.60032,3,1,True
Phenolsulfonphthalein,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,354.381,3.1333,5,2,240.97,0.26883,2,1,True
Prednisolone,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,360.448,1.1414,5,3,253.57,0.25784,2,1,True
Prodigiosin,CCCCCC1=C(NC(=C1)C=C2C(=CC(=N2)C3=CC=CN3)OC)C,323.439,3.7106,4,2,272.87,0.18137,7,1,True
Riboflavin,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,376.368,-2.0663,10,5,264.4,0.44066,5,1,True
Rimonabant,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl,463.795,4.2064,5,1,334.07,0.13737,4,1,True
Ro 31-8220,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N,457.557,1.5945,7,3,336.86,0.29579,7,1,True
Rosmarinic Acid,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,360.317,1.4502,8,5,263.03,0.38619,7,1,True
Rotenone,CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,394.422,4.5323,6,0,284.82,0.22133,3,1,True
SB 203580,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,377.442,3.5687,4,1,280.96,0.20875,4,1,True
SD-208,C1=CC(=C(C=C1Cl)C2=NC3=NC=CN=C3C(=N2)NC4=CC=NC=C4)F,352.759,3.0476,6,1,254.41,0.26064,3,1,True
SNX 2112,CC1(CC2=C(C(=O)C1)C(=NN2C3=CC(=C(C=C3)C(=O)N)NC4CCC(CC4)O)C(F)(F)F)C,464.486,2.4294,7,3,327.76,0.25552,5,1,True
SP2509,CC(=NNC(=O)C1=CC(=CC=C1)S(=O)(=O)N2CCOCC2)C3=C(C=CC(=C3)Cl)O,437.903,2.4426,8,2,309.65,0.29466,4,1,True
SRT2183,C1CN(CC1O)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=CC6=CC=CC=C6C=C5,468.58,4.4407,6,2,347.23,0.23163,5,1,True
ST 1481,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C5=CC=CC=C5N=C4C3=C2)C=NOC(C)(C)C)O,447.49,3.088,8,1,321.8,0.26479,4,1,True
STA 9090,CC(C)C1=C(C=C(C(=C1)C2=NNC(=O)N2C3=CC4=C(C=C3)N(C=C4)C)O)O,364.404,3.4394,7,3,267.78,0.27123,3,1,True
STF-118804,CC1=CC=C(C=C1)S(=O)(=O)CC2=C(OC(=N2)C3=CC=C(C=C3)C(=O)NCC4=CN=CC=C4)C,461.541,3.013,7,1,349.58,0.25496,7,1,True
Silybin,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,482.44,2.1266,10,5,331.3,0.3578,4,1,True
Silymarin,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,482.44,2.1266,10,5,331.3,0.3578,4,1,True
Simvastatin,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,418.572,4.4608,5,1,327.83,0.18052,7,1,True
StemRegenin 1,CC(C)N1C=NC2=C(N=C(N=C21)C3=CSC4=CC=CC=C43)NCCC5=CC=C(C=C5)O,429.547,4.838,6,2,325.75,0.26002,6,1,True
Sulfasalazine,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,398.398,2.6508,9,3,285.05,0.39737,5,1,True
Topotecan,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,421.452,0.461,8,2,294.78,0.27258,3,1,True
Triamterene,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,253.268,0.6075,7,3,188.22,0.47652,1,1,True
Troglitazone,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,441.546,4.3852,6,2,323.81,0.27217,5,1,True
U 0126,C1=CC=C(C(=C1)N)SC(=C(C#N)C(=C(N)SC2=CC=CC=C2N)C#N)N,380.499,2.0552,6,4,291.34,0.4228,5,1,True
VS-5584,CC1=NC2=C(N=C(N=C2N1C(C)C)N3CCOCC3)C4=CN=C(N=C4)N,354.417,1.0062,9,1,270.26,0.33501,3,1,True
Vemurafenib,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,489.929,4.5779,6,2,341.4,0.22859,6,1,True
Wortmannin,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C,428.436,1.6247,8,0,295.27,0.32604,4,1,True
XMU-MP-1,CN1C2=C(C(=O)N(C3=CN=C(N=C31)NC4=CC=C(C=C4)S(=O)(=O)N)C)SC=C2,416.485,2.0613,9,2,284.17,0.41436,3,1,True
abexinostat,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO,397.43,1.6226,8,3,308.18,0.29126,8,1,True
acalabrutinib,CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,465.516,2.6784,9,2,362.43,0.26824,4,1,True
aflatoxin G1,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,328.275,0.9548,7,0,218.96,0.34746,1,1,True
afuresertib,CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)NC(CC3=CC(=CC=C3)F)CN)Cl,427.33,3.178,5,2,303.88,0.25658,6,1,True
alternariol,CC1=CC(=CC2=C1C3=C(C(=CC(=C3)O)O)C(=O)O2)O,258.228,2.2963,5,3,178.58,0.34909,0,1,True
alvocidib,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,401.845,3.5175,6,3,281.79,0.23383,2,1,True
andrographolide,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O,350.453,1.883,5,3,258.92,0.24077,3,1,True
arzanol,CCC1=C(C(=C(C(=O)O1)CC2=C(C(=C(C(=C2O)CC=C(C)C)O)C(=O)C)O)O)C,402.441,3.5815,7,4,303.79,0.29125,6,1,True
asiatic acid,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)O,488.706,4.2233,5,4,350.81,0.18654,2,1,True
atranorin,CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2)C)C(=O)OC)O)C)O)C=O)O,374.344,2.931,8,3,276.15,0.3564,6,1,True
auriculasin,CC(=CCC1=C2C(=C(C3=C1OC=C(C3=O)C4=CC(=C(C=C4)O)O)O)C=CC(O2)(C)C)C,420.46,4.6764,6,3,311.95,0.2319,3,1,True
beclomethasone 17-monopropionate,CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)C(=O)CO,464.984,2.9232,6,2,325.32,0.23153,5,1,True
bergenin,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O,328.272,-1.626,9,5,214.28,0.50653,2,1,True
bicalutamide,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,430.377,2.1426,6,2,291.11,0.27392,6,1,True
bisindolylmaleimide,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,327.342,1.5839,5,3,237.74,0.2756,2,1,True
bisindolylmaleimide I,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,412.492,1.7206,6,2,313.47,0.19763,6,1,True
bisindolylmaleimide IX,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N,457.557,1.5945,7,3,336.86,0.29579,7,1,True
bisoxatin acetate,CC(=O)OC1=CC=C(C=C1)C2(C(=O)NC3=CC=CC=C3O2)C4=CC=C(C=C4)OC(=O)C,417.416,3.2815,7,1,308.92,0.26084,6,1,True
brassinolide,CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O,480.683,3.2214,6,4,353.35,0.2135,5,1,True
brazilein,C1C2=CC(=C(C=C2C3=C4C=CC(=O)C=C4OCC31O)O)O,284.266,0.6189,5,3,191.62,0.32533,0,1,True
calycosin-7-O-beta-D-glucoside,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,446.407,-0.0864,10,5,308.75,0.38394,5,1,True
capivasertib,C1CN(CCC1(C(=O)NC(CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,428.923,1.1671,8,4,316.48,0.2918,6,1,True
capsazepine,C1CC2=CC(=C(C=C2CN(C1)C(=S)NCCC3=CC=C(C=C3)Cl)O)O,376.907,3.6655,4,3,284.67,0.24312,3,1,True
casticin,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC)O,374.344,2.3995,8,2,271.93,0.32817,5,1,True
cinobufotalin,CC(=O)OC1C(C2(CCC3C(C24C1O4)CCC5(C3(CCC(C5)O)C)O)C)C6=COC(=O)C=C6,458.549,1.5083,7,2,319.3,0.28165,3,1,True
columbamine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)O)OC,338.382,-0.0048001,5,1,252.07,0.18193,3,1,True
crenigacestat,CC(C(=O)NC1C2=CC=CC=C2C3=C(N=CC=C3)N(C1=O)CCO)NC(=O)CCC(F)(F)F,464.443,1.737,8,3,332.86,0.26936,8,1,True
daidzin,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,416.381,-0.0164,9,5,286.49,0.37886,4,1,True
darbufelone,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=C2C(=O)NC(=N)S2,332.467,3.9085,4,3,252.21,0.28028,3,1,True
deacylcortivazol,CC1CC2C3C=C(C4=CC5=C(CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)C=NN5C6=CC=CC=C6)C,488.626,2.6581,6,3,351.01,0.19994,3,1,True
entinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,376.415,2.1633,7,3,296.0,0.28797,7,1,True
enzalutamide,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C,464.442,3.5872,6,1,324.5,0.26564,4,1,True
epothilone A,CC1CCCC2C(O2)CC(OC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C,493.663,4.1813,7,2,381.79,0.29142,2,1,True
epsilon-viniferin,C1=CC(=CC=C1C=CC2=C3C(C(OC3=CC(=C2)O)C4=CC=C(C=C4)O)C5=CC(=CC(=C5)O)O)O,454.477,4.8239,6,5,332.29,0.22721,4,1,True
eriodictyol,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,288.254,1.81,6,4,198.93,0.37923,1,1,True
eupafolin,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O,316.264,1.92,7,4,219.64,0.389,2,1,True
eurycomanone,CC1=CC(=O)C(C2(C1CC3C45C2C(C(C(=C)C4(C(C(=O)O3)O)O)O)(OC5)O)C)O,408.402,-1.7372,9,5,249.39,0.44741,0,1,True
evernic acid,CC1=CC(=CC(=C1C(=O)OC2=CC(=C(C(=C2)C)C(=O)O)O)O)OC,332.307,2.5016,7,3,244.35,0.34942,5,1,True
fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,286.238,1.8359,6,4,195.59,0.3857,1,1,True
gamabufotalin,CC12CCC(CC1CCC3C2C(CC4(C3(CCC4C5=COC(=O)C=C5)O)C)O)O,402.529,2.1448,5,3,284.84,0.21886,1,1,True
gedunin,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C,482.571,2.8838,7,0,342.24,0.26554,3,1,True
geniposide,COC(=O)C1=COC(C2C1CC=C2CO)OC3C(C(C(C(O3)CO)O)O)O,388.368,-2.1498,10,5,265.46,0.44655,6,1,True
